seqnames	start	end	width	strand	Conc	Conc_Cph_NanoDam	Conc_control	Fold	p.value	FDR
2L	20603274	20603674	401	*	8.6760883134442	9.52578905228612	6.33873449426732	3.03300995827611	2.16829835035101e-16	2.06590648380665e-13
2L	8423473	8423873	401	*	10.5443121371036	11.3752947472965	8.36710561350416	2.86249745289006	2.42670602208946e-16	2.22953615779469e-13
X	15227403	15227803	401	*	8.67219995515047	5.57766002088266	9.58517828163641	-3.80652255906652	6.89315033201168e-16	6.02862118562674e-13
3R	30317188	30317588	401	*	9.94069300173273	10.9026526817548	5.67662145323328	4.88145887681347	7.03046202405451e-16	6.02862118562674e-13
3R	25289759	25290159	401	*	11.4191617433401	12.2196250886921	9.46650245582986	2.61234455195185	2.27040311025775e-15	1.88406838746389e-12
3R	9699860	9700260	401	*	10.3547617502771	11.2124534157778	7.94251811663341	3.09634931416405	3.05194197538671e-15	2.45347522865072e-12
X	17379094	17379494	401	*	11.1460189222256	11.8885609545083	9.53284625604045	2.23457296007006	6.06726341181962e-15	4.72970761421393e-12
3R	12423138	12423538	401	*	11.1445508845331	11.9621817939405	9.07049351669835	2.73623629006198	7.2922383014183e-15	5.51743618541134e-12
3L	14956818	14957218	401	*	11.7076556990147	12.5638835350694	9.30945646474266	3.07372511875392	1.21347100263207e-14	8.91901186934569e-12
3L	14353321	14353721	401	*	8.33469256501479	9.18152942017453	6.02316317006145	2.9761408040428	3.0778614159907e-14	2.19938847017669e-11
2R	3357200	3357600	401	*	10.2144871765578	7.89312758208926	11.062420902569	-2.98076531983098	6.91091498070909e-14	4.80495372645247e-11
3L	15070245	15070645	401	*	9.6028370350408	10.3066833410795	8.17294399025801	2.00725702337634	8.96826142282298e-14	6.07127697637161e-11
3R	30482011	30482411	401	*	7.37754228968563	8.35627191446187	2.28314308962467	5.47832104849755	9.21598346016749e-14	6.0790044746874e-11
3R	19643798	19644198	401	*	8.93298741813386	9.85929942253689	5.60510728759985	3.9813587266016	1.00141109333981e-13	6.40712811860417e-11
2R	7773339	7773739	401	*	12.2681919814301	12.95995581705	10.8901585099322	1.94403860613823	1.0211555018961e-13	6.40712811860417e-11
2L	5529103	5529503	401	*	10.9194736686391	11.6124453222505	9.53635837990996	1.94831050016248	1.41527043675989e-13	8.66853142515433e-11
3L	5209763	5210163	401	*	8.49757065550837	9.45966825451492	4.22832762377286	4.81531975359511	1.62926728863221e-13	9.74718627908455e-11
3L	14213332	14213732	401	*	8.17545659684484	5.24085692292259	9.07787992671778	-3.58712999760065	2.79847879668469e-13	1.63615606919804e-10
2L	20633883	20634283	401	*	8.50585857357962	9.34053036133881	6.29862226597184	2.85265144574768	2.87851518620116e-13	1.64555118144499e-10
3L	5632538	5632938	401	*	8.61688645041819	9.37049425138517	6.94570538502377	2.27084411368642	9.12043128099523e-13	5.10050205877396e-10
2R	8143944	8144344	401	*	9.89773560502666	10.5523762440839	8.66590288340675	1.74380886175139	1.11744609095296e-12	6.11623418931167e-10
X	19643610	19644010	401	*	10.6303129217774	11.4929577260709	8.16939718334763	3.10228617150572	1.15067204288736e-12	6.16688297984942e-10
2L	6015035	6015435	401	*	9.07381187009871	9.8755151197759	7.11276553568895	2.58297534308862	1.2813065870576e-12	6.72685958205238e-10
3L	11054782	11055182	401	*	8.95023021152165	9.7450528963536	7.0350339437702	2.53410376862245	1.36126712097239e-12	7.00371933740293e-10
3R	18578639	18579039	401	*	12.4715008957791	13.2081100995807	10.8883190274837	2.16737078749623	1.60738629853249e-12	8.1078455940683e-10
2R	6664651	6665051	401	*	7.50541346889292	8.44548407823641	3.88619364196772	4.20734819405319	2.31460921803672e-12	1.1450638871922e-09
2L	5743805	5744205	401	*	10.3035702286625	10.9800447140829	8.98801418369831	1.84383400622238	2.75020361477533e-12	1.33488656585086e-09
3L	14129077	14129477	401	*	9.03708273181679	9.78677085689651	7.38676818485429	2.23843095335814	2.80905357882944e-12	1.33820191324791e-09
2L	5437882	5438282	401	*	9.43363542880002	10.1914778259555	7.73950165939249	2.28661891723573	3.16536848446862e-12	1.47456019516351e-09
3L	7258992	7259392	401	*	7.93318561617855	8.76646461962014	5.73736914387185	2.82141416485726	3.20992695545799e-12	1.47456019516351e-09
2L	12643622	12644022	401	*	7.91237356627806	8.84207336780753	4.51827239776085	3.99699441617301	3.59610308122648e-12	1.62297810113248e-09
2L	8678974	8679374	401	*	10.8106437439513	9.58999523751882	11.4622444612916	-1.7198296766831	3.68562536414292e-12	1.63470193952718e-09
2L	19737207	19737607	401	*	7.85117713833883	4.5551450737922	8.77580064620706	-3.89462571724931	3.96604442467188e-12	1.72926259024888e-09
3R	29891106	29891506	401	*	8.77260695766185	9.56778586267018	6.85507766038992	2.523727378728	5.61926528903364e-12	2.40925999267317e-09
3L	15928824	15929224	401	*	7.20194840172993	8.1796324799998	2.17625565739436	5.33991117232815	6.14157835078055e-12	2.59003447662016e-09
X	6797044	6797444	401	*	10.288876121179	10.9620106364702	8.98653032656337	1.81977749848188	6.44609534691045e-12	2.64915634631261e-09
3R	11258121	11258521	401	*	8.45100181662997	5.92069135250541	9.32039835507632	-3.16023842763365	6.48772982770434e-12	2.64915634631261e-09
4	25845	26245	401	*	8.42640933682606	5.19475198075227	9.34749752457834	-3.84414178559716	6.8546565940371e-12	2.75525063877507e-09
3R	7130796	7131196	401	*	8.28169388935995	9.08498370164586	6.30983338447284	2.57976430326999	7.38639391633103e-12	2.87984936899403e-09
X	16216738	16217138	401	*	12.0132778456266	12.7488297571925	10.4353630534602	2.14870623630724	7.38853482424125e-12	2.87984936899403e-09
X	16656130	16656530	401	*	11.4836205232982	12.1631713535517	10.1557615204108	1.84871621799065	8.95563933273767e-12	3.43856450499517e-09
3L	15555355	15555755	401	*	6.79706811066081	7.74609781649992	2.94869211180264	4.39118199816737	9.40019192591127e-12	3.55617554844217e-09
3R	27102378	27102778	401	*	9.75115025798187	10.4767435455459	8.22174227295264	2.09043822541241	9.80673938683478e-12	3.63705581571368e-09
3L	14132073	14132473	401	*	8.88268968280063	9.65423818392961	7.11116436762787	2.36165940948485	9.89675051894879e-12	3.63705581571368e-09
3R	20921970	20922370	401	*	9.99807244523728	10.7747617498589	8.19621492708911	2.39354929717989	1.10718582403158e-11	4.01159934129754e-09
2R	17478683	17479083	401	*	10.6809327895318	11.3646329499071	9.33626949963829	1.86515456027034	1.42180165840648e-11	5.07997884201483e-09
2L	6011869	6012269	401	*	9.55776433041362	10.2221248760874	8.28941455391714	1.76791743124434	1.5771162457024e-11	5.557714441191e-09
2L	21551665	21552065	401	*	8.70748909108434	9.55175826486318	6.41868411769612	2.89946145705785	1.74147076311019e-11	6.05396424067698e-09
Y	1425653	1426053	401	*	9.03724094352084	9.82540002030101	7.16490318229624	2.46555476336259	1.76830953480989e-11	6.06530170439791e-09
3R	30457684	30458084	401	*	10.0348458101557	10.8163179501877	8.20408357028775	2.41699146221	2.30433308098766e-11	7.79986427742205e-09
3L	9845180	9845580	401	*	9.98855091924572	10.7893937435692	8.03333067209999	2.54787646525138	2.6555953375362e-11	8.8721026049505e-09
3R	12645036	12645436	401	*	10.7352186688904	11.3820158515913	9.53202083078605	1.67795770590265	2.78169473707212e-11	9.1742432193821e-09
X	5082285	5082685	401	*	8.8352109536244	9.67610016464958	6.57572384414641	2.86322081291861	2.93945902860195e-11	9.57184601402344e-09
X	2249515	2249915	401	*	9.93134880927026	10.5793263276325	8.72388783995893	1.68253947379745	3.02553290796176e-11	9.72897925716453e-09
X	17686627	17687027	401	*	9.31011106884827	10.0279298227939	7.81724705040727	2.03319651819124	4.24891313818319e-11	1.34942333925633e-08
X	107641	108041	401	*	6.73906646228914	1.95214883209926	7.71269697365212	-5.10297151532188	5.15948425735052e-11	1.61863088439442e-08
2R	6285582	6285982	401	*	10.1407939094116	7.93624241234656	10.9751393639045	-2.79841874298696	6.51105261267761e-11	2.01803407784496e-08
4	911387	911787	401	*	6.85991308985893	7.80891809647908	3.01222374691479	4.3422822440492	7.40648052497171e-11	2.26823466077259e-08
X	5772662	5773062	401	*	7.88989237613073	5.12898456904856	8.7793416045933	-3.35743899206593	7.88567421388271e-11	2.38657610767215e-08
3R	18273858	18274258	401	*	9.79863368527968	8.64026827753382	10.4327437810811	-1.60738261133122	8.67472217942035e-11	2.59485148913475e-08
3L	18045993	18046393	401	*	10.2648180136153	10.9416456452153	8.94785630904497	1.80986141837505	9.30318566326869e-11	2.75085576077686e-08
3L	19170546	19170946	401	*	9.84767140228604	7.92101382403857	10.6442377031785	-2.50442640967978	9.82122551810043e-11	2.87103439151288e-08
X	6748634	6749034	401	*	7.84987284277496	8.67856092818738	5.69099540800861	2.74006742210206	1.21942790552913e-10	3.52469470446483e-08
2L	20774	21174	401	*	7.19443176175078	8.174349467054	2.01770382716347	5.35060849658585	1.26909398203143e-10	3.60626270322631e-08
3R	31074765	31075165	401	*	7.16779041646334	8.11358531594108	3.40657877166398	4.26523509268619	1.27568476576713e-10	3.60626270322631e-08
X	21402473	21402873	401	*	9.21793405912647	10.0175464134592	7.27099887596294	2.51886855178541	1.45694620754764e-10	4.05887897931307e-08
3R	8895627	8896027	401	*	9.80819569302295	10.4973306885363	8.44114684630745	1.86666278764904	1.46734983508694e-10	4.05887897931307e-08
2L	15338811	15339211	401	*	10.2300897465332	10.8869989969506	8.98983816616165	1.70542064382993	1.60397907585464e-10	4.38961294961283e-08
2R	15374821	15375221	401	*	9.26063875933014	6.7137205425016	10.1315990371801	-3.13007560135073	1.79328642851653e-10	4.8560308814303e-08
3R	30590727	30591127	401	*	8.67119004325794	9.45988069666141	6.79548684329877	2.43981280019743	1.83606148636939e-10	4.8810722839709e-08
2L	13295815	13296215	401	*	9.59158383891089	10.3152477383537	8.07135010576932	2.04647646072845	1.85091266207723e-10	4.8810722839709e-08
2L	9676454	9676854	401	*	9.83064830973899	10.4650726552535	8.67119378382854	1.59858584083467	1.85945610817939e-10	4.8810722839709e-08
2R	16217079	16217479	401	*	11.3184098450722	11.9979923393747	9.99042352678138	1.81366863468507	2.00138415523959e-10	5.20056640338772e-08
2L	5699592	5699992	401	*	9.46139451241092	10.1410288225395	8.13319982180408	1.8092021298821	2.90565775504075e-10	7.43524247709775e-08
3L	22468657	22469057	401	*	9.1857434660812	9.82861347880739	7.99661495622004	1.63156884184743	2.91918169168852e-10	7.43524247709775e-08
2L	4694868	4695268	401	*	8.87935162952513	9.62407471953012	7.25496334315476	2.15953260172237	2.97704487137749e-10	7.50828228590057e-08
2R	17400973	17401373	401	*	9.8982219236424	10.6221574116086	8.3767010483668	2.04027081048693	3.31541252544078e-10	8.28048419582175e-08
3R	15649504	15649904	401	*	9.90874610948745	10.5293454785143	8.79622830088632	1.52748541730992	4.23899840080317e-10	1.04854071019867e-07
X	20510263	20510663	401	*	10.218584146902	10.8315773470126	9.13106825391167	1.49359143939182	4.7590708240807e-10	1.159969035658e-07
3R	29260191	29260591	401	*	10.7882815438956	11.3734467136474	9.78767336592294	1.38233093187642	4.77965861145766e-10	1.159969035658e-07
3L	6812066	6812466	401	*	8.81842340216059	9.51438194448166	7.42264508109814	1.88201080560869	5.77559959891382e-10	1.38857289422484e-07
2R	5620021	5620421	401	*	9.55051956903676	8.09404600545521	10.2603547818044	-1.95227896412515	6.00395448028358e-10	1.43010860190088e-07
3L	27410	27810	401	*	6.32295037940199	1.10133915025302	7.30348740940642	-5.28576680462939	8.09435273246324e-10	1.91034150497814e-07
X	4616473	4616873	401	*	10.4662220837795	11.1294955188442	9.20201507134767	1.71220685120291	8.36190446917743e-10	1.95554538608718e-07
3R	22411545	22411945	401	*	10.4128237172847	11.0118479448591	9.36979700097687	1.42835347610863	8.84162898408408e-10	2.04910725779786e-07
X	2665834	2666234	401	*	12.3969564058186	13.0198920580508	11.2766444240882	1.5251099727215	1.00022495866168e-09	2.29739170192605e-07
3R	7832146	7832546	401	*	8.49482519434957	6.02147167579407	9.35870650002639	-3.02519505446188	1.01175666101499e-09	2.30331328359385e-07
2R	23794570	23794970	401	*	7.8845950778512	8.71665493654658	5.69869211434697	2.73502670522661	1.03216196423315e-09	2.32915495876297e-07
2L	14333353	14333753	401	*	9.57040000989552	8.07532242025628	10.2886965203642	-1.98465662107297	1.29225725574506e-09	2.89072329600362e-07
2L	2926228	2926628	401	*	10.6819241478972	11.3156184606882	9.52499812320591	1.56691735367476	1.4117999052237e-09	3.13090970361032e-07
3L	9506196	9506596	401	*	8.59969308034886	7.22665782608116	9.29026381789775	-1.83882045981966	1.43269070158189e-09	3.15008276052941e-07
2R	16278697	16279097	401	*	8.96376446995553	9.65259701142626	7.59797280376709	1.83003095899882	1.44754749526098e-09	3.15577621318549e-07
2R	18532695	18533095	401	*	11.0861764343389	11.7131405300866	9.95229524908722	1.53541211853688	1.56946608934547e-09	3.39281639902624e-07
3L	7095916	7096316	401	*	8.52951442418114	9.24296697393333	7.05669092471355	1.95618810772211	1.65015984299725e-09	3.53753016342535e-07
2R	13545239	13545639	401	*	11.1595052549121	11.7859733984103	10.0273035682807	1.53244052671978	1.67207277771872e-09	3.55488200056315e-07
2L	20670210	20670610	401	*	9.53862124952951	10.2258379734822	8.17952295290439	1.81815686708485	1.74401345574752e-09	3.67743820894302e-07
2R	2109836	2110236	401	*	8.48444471652843	6.90302725219234	9.22070025690045	-2.06599831916845	3.47946398935675e-09	7.26913068330969e-07
X	3849285	3849685	401	*	8.30520448570912	9.08582813323786	6.47961952660688	2.3345732744982	3.50387640322799e-09	7.26913068330969e-07
3L	14958506	14958906	401	*	8.83831195426804	9.67052366214619	6.65117838807116	2.70621277736274	4.00908368233386e-09	8.25069421824308e-07
3L	5989061	5989461	401	*	8.62969074987599	9.37681989419736	6.99280791775938	2.12759094610525	4.0437527066096e-09	8.25599510932794e-07
2R	6622105	6622505	401	*	9.58901681519962	10.2198986366529	8.44177890694544	1.53548496264654	4.34993579237833e-09	8.75801619046633e-07
2R	13850807	13851207	401	*	10.5071007323118	11.102804708687	9.47438795484082	1.3916554882209	4.3577301161504e-09	8.75801619046633e-07
3L	12073033	12073433	401	*	11.9243257796194	12.5921422440142	10.6427056209066	1.70384203721397	4.42702111502064e-09	8.82830373518652e-07
2L	6748874	6749274	401	*	8.34840703871186	9.1367374258037	6.47498569562488	2.37852609962394	4.90335079949209e-09	9.6437423275415e-07
3L	18240507	18240907	401	*	9.2724379514706	9.89798271162104	8.14335648837819	1.51025642969952	4.91090474211054e-09	9.6437423275415e-07
3L	16368293	16368693	401	*	10.1831585314634	10.8365023329752	8.95611051405944	1.63036466418157	5.79706963709913e-09	1.12976982132102e-06
2R	17750694	17751094	401	*	10.7830940319903	11.3384023210392	9.86856597140571	1.24509881525688	6.51496574136695e-09	1.26013153155387e-06
2L	3523041	3523441	401	*	9.88175128211071	8.81774758605318	10.4874325391316	-1.42303075418187	7.06758391943956e-09	1.35681788304166e-06
2R	23403382	23403782	401	*	7.04199740913863	4.68537778806495	7.89379793582584	-2.86095492408922	7.67235972571099e-09	1.46201076995493e-06
3L	18205771	18206171	401	*	8.29398567240763	9.02311818589058	6.74756305519962	2.00870675216152	8.02189435643898e-09	1.51737670823083e-06
2R	17571638	17572038	401	*	11.7771795122659	10.8025231395289	12.3535942271424	-1.31206251904627	8.16815976956348e-09	1.53376576694906e-06
X	5967891	5968291	401	*	12.6254765246292	13.2469264805485	11.5101273692433	1.47923895925627	1.0098571624477e-08	1.88250547130196e-06
3L	11330386	11330786	401	*	6.06713640450547	0.785732105427836	7.04846873235814	-5.22699193489994	1.01761064549657e-08	1.88331178815822e-06
2R	14340803	14341203	401	*	9.87243735919859	10.5517583403409	8.5455021176018	1.74106206332705	1.03553821318121e-08	1.89362138771015e-06
3R	14226772	14227172	401	*	9.20175166503111	9.94556868203009	7.5820353161414	2.08510143085294	1.03790326789944e-08	1.89362138771015e-06
X	19888878	19889278	401	*	12.2381255486961	12.8897939171178	11.0172293426188	1.60398888731444	1.36072492669286e-08	2.46511610839252e-06
3L	3349254	3349654	401	*	12.457525605896	13.1186087112462	11.2016201433688	1.64657143784809	1.40671031003151e-08	2.53060298780143e-06
3L	6298442	6298842	401	*	9.37071860904191	10.0668922909067	7.97402287212355	1.81767039733105	1.44601227549078e-08	2.58324067965281e-06
2R	3956414	3956814	401	*	8.97812085440131	7.74764813348351	9.63239343722429	-1.6056314923714	2.19725890165117e-08	3.87524003290592e-06
3R	28696589	28696989	401	*	9.38726353861886	9.99048345467734	8.33106266360626	1.3918636078107	2.19935877474933e-08	3.87524003290592e-06
3L	21974523	21974923	401	*	12.0116937260317	12.7300048667019	10.5165482856321	1.92119351145505	2.29876421008791e-08	4.02283736765384e-06
3L	11632804	11633204	401	*	9.8685245349091	10.5433631947006	8.5594574441023	1.69666828897457	2.58626050057767e-08	4.49537509306491e-06
2R	14898073	14898473	401	*	12.2321843909405	12.8273751259907	11.2010572658043	1.35823591199748	2.6340061768294e-08	4.54763818113666e-06
3L	10361990	10362390	401	*	10.2953988364118	10.8806514875325	9.294528034924	1.32133098857996	2.85049300419118e-08	4.88859550218787e-06
2L	5144472	5144872	401	*	10.2116590384394	10.8573554428417	9.0124225374405	1.55808606125814	3.09343834462341e-08	5.27011267651902e-06
3L	824307	824707	401	*	9.66120593678075	8.45686206408443	10.308320860603	-1.56339173807923	3.13278889448938e-08	5.30203909939075e-06
3L	733236	733636	401	*	11.8876425797518	12.5523359678337	10.6180213983415	1.64102636744666	3.41167219230961e-08	5.73629197040292e-06
X	2406529	2406929	401	*	7.13600317778949	8.08752782482384	3.21646220768944	4.17426269446668	3.82420623968824e-08	6.38816269584286e-06
2L	7126256	7126656	401	*	8.7167301633499	9.39988365138177	7.37429483494308	1.71951508750307	4.69928440893499e-08	7.79929622063565e-06
X	2333483	2333883	401	*	10.8557082448643	11.4354261012496	9.87132874365253	1.29229934413916	4.85647126957531e-08	8.00850791088621e-06
2R	23672701	23673101	401	*	11.6991043838941	12.3185388646674	10.5904524448849	1.43581598252337	5.14174107163033e-08	8.42492287055352e-06
2R	15910969	15911369	401	*	9.74553396214108	10.3875204761039	8.55954658731296	1.52597558584423	5.74175839570227e-08	9.34852751452157e-06
2L	6984450	6984850	401	*	8.47954482250571	9.15076352910198	7.18470854235613	1.65562899719827	6.01837700786712e-08	9.73727978159632e-06
2L	9204054	9204454	401	*	10.0362314254599	10.5822879903793	9.1470242555009	1.18300474304053	6.26071554614049e-08	1.00346425630067e-05
3R	21101210	21101610	401	*	10.073818280035	10.8116069705459	8.48473323884084	1.99584894843471	6.28018446120146e-08	1.00346425630067e-05
2R	15375440	15375840	401	*	6.70492398921833	2.20814099044341	7.67261435921134	-4.52931650298391	6.88663339920473e-08	1.09357187774408e-05
2R	22067835	22068235	401	*	11.0398690180448	11.5673670756915	10.1996860314787	1.12996385164021	7.0392100010074e-08	1.11094280537371e-05
X	17335516	17335916	401	*	9.24745637989806	9.93838039652851	7.8729433761858	1.7448649273064	7.26681923448798e-08	1.13987149272685e-05
2R	14328549	14328949	401	*	8.70654075003235	6.67822930963398	9.51789518839313	-2.45843559470648	7.44052271014822e-08	1.16004513162765e-05
2R	7655103	7655503	401	*	9.63051640126604	10.3224514559234	8.25176388303146	1.74774296306124	7.54906078733028e-08	1.16987704068718e-05
2R	12009734	12010134	401	*	12.7361090442528	13.3891288902944	11.5102531234746	1.56444100443628	7.9004653470262e-08	1.21700282067215e-05
X	5908343	5908743	401	*	11.2812500369855	11.8129326214853	10.4302122422884	1.13765567822673	8.7963126902424e-08	1.34693538069337e-05
2L	12471525	12471925	401	*	9.92223377697179	10.4878974802839	8.97862794116516	1.23362999973957	9.72105276035341e-08	1.47972829739699e-05
2R	13861399	13861799	401	*	10.8300301442704	11.3535555461298	10.0000485577879	1.11429366973427	9.93038975881929e-08	1.50270162673898e-05
2L	8289240	8289640	401	*	8.98815327239374	9.58151434069608	7.96266017276977	1.32155226713526	1.09050516146612e-07	1.64054065957404e-05
3L	11643255	11643655	401	*	10.4788433058305	9.40894889359423	11.0863711870848	-1.37173890593756	1.12663997264951e-07	1.68504728467492e-05
3L	10893216	10893616	401	*	11.0933076914159	11.6611194110473	10.1435696177089	1.23295942436234	1.36474244853268e-07	2.02316349880374e-05
3L	12795225	12795625	401	*	9.75271061281766	10.3482297580696	8.72056913449919	1.32359011105793	1.3684371187244e-07	2.02316349880374e-05
3L	2488086	2488486	401	*	10.8807877630559	11.4075273412421	10.042560233745	1.11613036667264	1.48248889847308e-07	2.17925868075543e-05
2R	21012516	21012916	401	*	11.5382020795516	10.3902952717396	12.169278869084	-1.45225911307399	1.55488240609154e-07	2.27269033504006e-05
3R	13814968	13815368	401	*	12.356710756444	13.0060994101089	11.1441318634248	1.52401758615438	1.75189789978093e-07	2.54619059163076e-05
3R	12714044	12714444	401	*	9.67481709703515	10.2177831434111	8.79393465606925	1.15489631142517	1.90295316319835e-07	2.75019495074593e-05
3R	21601392	21601792	401	*	11.7878379823569	12.3199590268514	10.9356562339492	1.12538037065564	1.96162594799254e-07	2.8191523749781e-05
3R	30875645	30876045	401	*	8.87236962706103	9.50402149961845	7.72248747942711	1.44639985490054	2.00962881752095e-07	2.87209451837368e-05
X	1977628	1978028	401	*	9.58318820656258	10.1383512798431	8.6690623035203	1.1859809552865	2.20972943039386e-07	3.14062373463436e-05
2R	13966667	13967067	401	*	11.4294402814514	12.0459517393637	10.3304298771986	1.38472944160482	2.30487455019955e-07	3.2578515276859e-05
3L	13189693	13190093	401	*	10.3339872346463	9.44570342091025	10.8797022118499	-1.15781547479367	2.35877559063702e-07	3.30015714674361e-05
X	16072826	16073226	401	*	10.0012403227572	10.5496540010419	9.10563941630865	1.16572943960916	2.36046225461933e-07	3.30015714674361e-05
X	8112106	8112506	401	*	9.66529605687136	10.3326763391133	8.38535929976652	1.59173274178833	2.38750300090355e-07	3.31991971341858e-05
2R	11296917	11297317	401	*	12.0077256777272	12.5187889330347	11.2091083710958	1.0693392339524	2.40591090300648e-07	3.32752999891622e-05
3R	12024985	12025385	401	*	8.93074631864143	7.16262252160381	9.70171039134199	-2.13532895252337	2.46297862035505e-07	3.38824197907132e-05
3L	2478398	2478798	401	*	9.59730081867617	10.2748202638841	8.27758045026693	1.63583227437378	2.52447090361076e-07	3.45436244656312e-05
3R	6401066	6401466	401	*	9.29275879250361	9.93294376543813	8.11314946376176	1.47271038983934	2.66133435264443e-07	3.62237175776604e-05
2L	7989670	7990070	401	*	11.1918663112464	11.7796166493602	10.183470329595	1.28020127881154	2.73818046757129e-07	3.70735223833007e-05
2R	11249660	11250060	401	*	8.09113673900973	6.15372562131098	8.8893245427407	-2.30055903192939	3.01413798309154e-07	4.05961778089162e-05
2L	21108475	21108875	401	*	10.9802448843867	11.6802794229288	9.56696184960221	1.73221914822172	3.24016188266361e-07	4.34131064747507e-05
X	7297107	7297507	401	*	9.49359400466747	10.0533373202538	8.56670967840497	1.18934592119825	3.4108028750553e-07	4.54626445392734e-05
3R	7640985	7641385	401	*	9.15416832512759	9.73480911388401	8.16705632348233	1.25119913274197	3.56752620136469e-07	4.73065007887147e-05
2R	15291531	15291931	401	*	10.0430211165654	10.7552227808103	8.57587710055798	1.78602824398244	3.73013074695095e-07	4.92090325463145e-05
3L	15131019	15131419	401	*	9.37868381888235	10.0044208502965	8.24895336860106	1.40344127408729	3.81116696481658e-07	5.00215664132176e-05
2L	4810487	4810887	401	*	11.3150159731965	11.9664893268508	10.0948336530089	1.50511401332311	3.8826572513672e-07	5.07011968484372e-05
3R	22453221	22453621	401	*	12.635604016664	13.2334001689532	11.5964035272278	1.30327058574865	3.97706106818514e-07	5.16716646358903e-05
2L	16887280	16887680	401	*	11.084489784969	11.6500945773153	10.1410516354074	1.20211391855252	4.13073600430126e-07	5.33985847792211e-05
3R	5812412	5812812	401	*	8.54252709016293	9.29355894101019	6.88509949278651	1.98903527415451	4.17967514117803e-07	5.37610715034024e-05
2L	6526971	6527371	401	*	8.48769493158749	9.19868914837014	7.02600740597417	1.77464427319098	4.24428097199391e-07	5.43204616938026e-05
