"","seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"20","chr2L",430036,430036,1,"*","SRR21146075_vs_SRR21146078_peak_20",3.92342,"Promoter (1-2kb)",1,431227,448701,17475,1,"FBgn0004583","FBtr0078059",-1191
"21","chr2L",466546,466546,1,"*","SRR21146075_vs_SRR21146078_peak_21",1.78058,"Intron (FBtr0310035/FBgn0031258, intron 1 of 1)",1,458876,471555,12680,2,"FBgn0031258","FBtr0310035",5009
"22","chr2L",466781,466781,1,"*","SRR21146075_vs_SRR21146078_peak_22",1.31245,"Intron (FBtr0310035/FBgn0031258, intron 1 of 1)",1,458876,471555,12680,2,"FBgn0031258","FBtr0310035",4774
"23","chr2L",469240,469240,1,"*","SRR21146075_vs_SRR21146078_peak_23",5.1206,"Promoter (2-3kb)",1,458876,471555,12680,2,"FBgn0031258","FBtr0310035",2315
"24","chr2L",470268,470268,1,"*","SRR21146075_vs_SRR21146078_peak_24",2.44764,"Promoter (1-2kb)",1,458876,471555,12680,2,"FBgn0031258","FBtr0310035",1287
"25","chr2L",470854,470854,1,"*","SRR21146075_vs_SRR21146078_peak_25",2.99554,"Promoter (<=1kb)",1,458876,471555,12680,2,"FBgn0031258","FBtr0310035",701
"26","chr2L",475798,475798,1,"*","SRR21146075_vs_SRR21146078_peak_26",1.66649,"Promoter (<=1kb)",1,476220,540532,64313,1,"FBgn0003963","FBtr0333012",-422
"27","chr2L",475958,475958,1,"*","SRR21146075_vs_SRR21146078_peak_27",2.10584,"Promoter (<=1kb)",1,476220,540532,64313,1,"FBgn0003963","FBtr0333012",-262
"28","chr2L",476154,476154,1,"*","SRR21146075_vs_SRR21146078_peak_28",2.20979,"Promoter (<=1kb)",1,476220,540532,64313,1,"FBgn0003963","FBtr0333012",-66
"29","chr2L",477538,477538,1,"*","SRR21146075_vs_SRR21146078_peak_29",2.37616,"Promoter (1-2kb)",1,476220,540532,64313,1,"FBgn0003963","FBtr0333013",1318
"30","chr2L",477802,477802,1,"*","SRR21146075_vs_SRR21146078_peak_30",2.80361,"Promoter (1-2kb)",1,476220,540532,64313,1,"FBgn0003963","FBtr0333013",1582
"31","chr2L",483699,483699,1,"*","SRR21146075_vs_SRR21146078_peak_31",2.37616,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",1,476446,479688,3243,2,"FBgn0043364","FBtr0310030",-4011
"32","chr2L",485812,485812,1,"*","SRR21146075_vs_SRR21146078_peak_32",1.67605,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",1,490835,540532,49698,1,"FBgn0003963","FBtr0310027",-5023
"33","chr2L",492126,492126,1,"*","SRR21146075_vs_SRR21146078_peak_33",4.20974,"Promoter (<=1kb)",1,491879,492649,771,1,"FBgn0267991","FBtr0347590",247
"34","chr2L",494282,494282,1,"*","SRR21146075_vs_SRR21146078_peak_34",1.31245,"Promoter (2-3kb)",1,491879,492649,771,1,"FBgn0267991","FBtr0347590",2403
"35","chr2L",511927,511927,1,"*","SRR21146075_vs_SRR21146078_peak_35",6.34484,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",1,500873,502236,1364,2,"FBgn0267992","FBtr0347591",-9691
"36","chr2L",574538,574538,1,"*","SRR21146075_vs_SRR21146078_peak_36",4.09848,"Promoter (<=1kb)",1,574508,575734,1227,1,"FBgn0031268","FBtr0078069",30
"37","chr2L",574698,574698,1,"*","SRR21146075_vs_SRR21146078_peak_37",1.72568,"Promoter (<=1kb)",1,574508,575734,1227,1,"FBgn0031268","FBtr0078069",190
"38","chr2L",821997,821997,1,"*","SRR21146075_vs_SRR21146078_peak_38",1.67605,"Promoter (<=1kb)",1,821422,824337,2916,1,"FBgn0031285","FBtr0301908",575
"39","chr2L",826797,826797,1,"*","SRR21146075_vs_SRR21146078_peak_39",1.31245,"Promoter (<=1kb)",1,825969,833241,7273,1,"FBgn0010583","FBtr0078015",828
"40","chr2L",844718,844718,1,"*","SRR21146075_vs_SRR21146078_peak_40",2.12423,"Promoter (1-2kb)",1,833587,842943,9357,2,"FBgn0020304","FBtr0078037",-1775
"41","chr2L",846574,846574,1,"*","SRR21146075_vs_SRR21146078_peak_41",1.60316,"Intron (FBtr0302120/FBgn0020304, intron 1 of 5)",1,833587,842943,9357,2,"FBgn0020304","FBtr0078037",-3631
"42","chr2L",846726,846726,1,"*","SRR21146075_vs_SRR21146078_peak_42",3.03554,"Intron (FBtr0302120/FBgn0020304, intron 1 of 5)",1,833587,842943,9357,2,"FBgn0020304","FBtr0078037",-3783
"43","chr2L",849106,849106,1,"*","SRR21146075_vs_SRR21146078_peak_43",2.65927,"Promoter (1-2kb)",1,850702,851163,462,1,"FBgn0264869","FBtr0334793",-1596
"44","chr2L",856567,856567,1,"*","SRR21146075_vs_SRR21146078_peak_44",1.72568,"Promoter (<=1kb)",1,857403,860079,2677,1,"FBgn0266884","FBtr0445831",-836
"45","chr2L",865895,865895,1,"*","SRR21146075_vs_SRR21146078_peak_45",2.7286,"Promoter (<=1kb)",1,861849,865861,4013,2,"FBgn0029095","FBtr0078033",-34
"46","chr2L",867466,867466,1,"*","SRR21146075_vs_SRR21146078_peak_46",3.80655,"Promoter (<=1kb)",1,861849,868013,6165,2,"FBgn0029095","FBtr0078032",547
"47","chr2L",874004,874004,1,"*","SRR21146075_vs_SRR21146078_peak_47",2.49449,"Promoter (2-3kb)",1,871095,874149,3055,1,"FBgn0053526","FBtr0091486",2909
"48","chr2L",906278,906278,1,"*","SRR21146075_vs_SRR21146078_peak_48",1.72568,"Promoter (2-3kb)",1,904029,904347,319,1,"FBgn0266799","FBtr0345455",2249
"49","chr2L",1024804,1024804,1,"*","SRR21146075_vs_SRR21146078_peak_49",2.37616,"Promoter (2-3kb)",1,1026105,1026897,793,2,"FBgn0031295","FBtr0077997",2093
"50","chr2L",1042993,1042993,1,"*","SRR21146075_vs_SRR21146078_peak_50",1.78058,"Promoter (<=1kb)",1,1011421,1043218,31798,2,"FBgn0031294","FBtr0301416",225
"51","chr2L",1046526,1046526,1,"*","SRR21146075_vs_SRR21146078_peak_51",4.9007,"Promoter (1-2kb)",1,1008378,1048053,39676,2,"FBgn0031294","FBtr0301417",1527
"52","chr2L",1047326,1047326,1,"*","SRR21146075_vs_SRR21146078_peak_52",2.76619,"Promoter (<=1kb)",1,1008378,1048053,39676,2,"FBgn0031294","FBtr0301417",727
"53","chr2L",1047506,1047506,1,"*","SRR21146075_vs_SRR21146078_peak_53",3.54712,"Promoter (<=1kb)",1,1008378,1048053,39676,2,"FBgn0031294","FBtr0301417",547
"54","chr2L",1049317,1049317,1,"*","SRR21146075_vs_SRR21146078_peak_54",6.34484,"Promoter (1-2kb)",1,1008378,1048053,39676,2,"FBgn0031294","FBtr0301417",-1264
"55","chr2L",1119535,1119535,1,"*","SRR21146075_vs_SRR21146078_peak_55",1.45457,"Promoter (<=1kb)",1,1114654,1119031,4378,2,"FBgn0016926","FBtr0332272",-504
"56","chr2L",1119734,1119734,1,"*","SRR21146075_vs_SRR21146078_peak_56",1.95974,"Promoter (<=1kb)",1,1114654,1119031,4378,2,"FBgn0016926","FBtr0332272",-703
"57","chr2L",1122271,1122271,1,"*","SRR21146075_vs_SRR21146078_peak_57",3.57268,"Intron (FBtr0077987/FBgn0016926, intron 2 of 4)",1,1114654,1119031,4378,2,"FBgn0016926","FBtr0332272",-3240
"58","chr2L",1137061,1137061,1,"*","SRR21146075_vs_SRR21146078_peak_58",3.54204,"Promoter (2-3kb)",1,1134693,1141156,6464,1,"FBgn0031306","FBtr0332271",2368
"59","chr2L",1137380,1137380,1,"*","SRR21146075_vs_SRR21146078_peak_59",3.75333,"Promoter (2-3kb)",1,1134693,1141156,6464,1,"FBgn0031306","FBtr0332271",2687
"60","chr2L",1137622,1137622,1,"*","SRR21146075_vs_SRR21146078_peak_60",4.87373,"Promoter (2-3kb)",1,1134693,1141156,6464,1,"FBgn0031306","FBtr0332271",2929
"61","chr2L",1142814,1142814,1,"*","SRR21146075_vs_SRR21146078_peak_61",2.29339,"Promoter (<=1kb)",1,1142869,1143216,348,1,"FBgn0267281","FBtr0346497",-55
"62","chr2L",1155055,1155055,1,"*","SRR21146075_vs_SRR21146078_peak_62",3.5204,"Promoter (1-2kb)",1,1151678,1156311,4634,2,"FBgn0261458","FBtr0100023",1256
"63","chr2L",1155164,1155164,1,"*","SRR21146075_vs_SRR21146078_peak_63",1.69824,"Promoter (1-2kb)",1,1151678,1156311,4634,2,"FBgn0261458","FBtr0100023",1147
"64","chr2L",1200762,1200762,1,"*","SRR21146075_vs_SRR21146078_peak_64",8.57605,"Promoter (<=1kb)",1,1200778,1201220,443,1,"FBgn0040723","FBtr0077973",-16
"65","chr2L",1218698,1218698,1,"*","SRR21146075_vs_SRR21146078_peak_65",1.43483,"Promoter (<=1kb)",1,1219293,1229802,10510,1,"FBgn0259229","FBtr0299796",-595
"66","chr2L",1219540,1219540,1,"*","SRR21146075_vs_SRR21146078_peak_66",1.31245,"Promoter (<=1kb)",1,1219293,1229802,10510,1,"FBgn0259229","FBtr0299796",247
"67","chr2L",1361610,1361610,1,"*","SRR21146075_vs_SRR21146078_peak_67",2.79608,"Promoter (<=1kb)",1,1359983,1361735,1753,2,"FBgn0053126","FBtr0077942",125
"68","chr2L",1381357,1381357,1,"*","SRR21146075_vs_SRR21146078_peak_68",4.39331,"Promoter (<=1kb)",1,1380083,1381326,1244,2,"FBgn0266203","FBtr0343843",-31
"69","chr2L",1461189,1461189,1,"*","SRR21146075_vs_SRR21146078_peak_69",1.78058,"Distal Intergenic",1,1442726,1443316,591,1,"FBgn0263321","FBtr0308745",18463
"70","chr2L",1461314,1461314,1,"*","SRR21146075_vs_SRR21146078_peak_70",1.78058,"Distal Intergenic",1,1442726,1443316,591,1,"FBgn0263321","FBtr0308745",18588
"71","chr2L",1555370,1555370,1,"*","SRR21146075_vs_SRR21146078_peak_71",2.37616,"Promoter (<=1kb)",1,1555129,1609389,54261,1,"FBgn0261509","FBtr0310019",241
"72","chr2L",1555494,1555494,1,"*","SRR21146075_vs_SRR21146078_peak_72",2.79608,"Promoter (<=1kb)",1,1555129,1609389,54261,1,"FBgn0261509","FBtr0310019",365
"73","chr2L",1657059,1657059,1,"*","SRR21146075_vs_SRR21146078_peak_73",1.78058,"Intron (FBtr0077877/FBgn0086758, intron 2 of 6)",1,1651258,1704682,53425,1,"FBgn0086758","FBtr0307047",5801
"74","chr2L",1709341,1709341,1,"*","SRR21146075_vs_SRR21146078_peak_74",2.37616,"Promoter (<=1kb)",1,1708452,1709244,793,1,"FBgn0266311","FBtr0344040",889
"75","chr2L",1726609,1726609,1,"*","SRR21146075_vs_SRR21146078_peak_75",1.89598,"Promoter (1-2kb)",1,1724974,1727717,2744,2,"FBgn0000579","FBtr0077909",1108
"76","chr2L",1737301,1737301,1,"*","SRR21146075_vs_SRR21146078_peak_76",4.51745,"Promoter (<=1kb)",1,1737467,1750612,13146,1,"FBgn0264494","FBtr0077886",-166
"77","chr2L",1745095,1745095,1,"*","SRR21146075_vs_SRR21146078_peak_77",4.74156,"Exon (FBtr0077885/FBgn0264494, exon 6 of 12)",1,1750687,1752122,1436,2,"FBgn0027597","FBtr0077903",7027
"78","chr2L",1889039,1889039,1,"*","SRR21146075_vs_SRR21146078_peak_78",1.72568,"Intron (FBtr0113012/FBgn0031374, intron 1 of 18)",1,1884622,1943818,59197,1,"FBgn0031374","FBtr0077811",4417
"79","chr2L",1903093,1903093,1,"*","SRR21146075_vs_SRR21146078_peak_79",4.01821,"Intron (FBtr0113012/FBgn0031374, intron 1 of 18)",1,1911742,1943818,32077,1,"FBgn0031374","FBtr0309828",-8649
"80","chr2L",1913503,1913503,1,"*","SRR21146075_vs_SRR21146078_peak_80",3.01501,"Promoter (1-2kb)",1,1911742,1944289,32548,1,"FBgn0031374","FBtr0113011",1761
"81","chr2L",1913572,1913572,1,"*","SRR21146075_vs_SRR21146078_peak_81",2.37616,"Promoter (1-2kb)",1,1911742,1944289,32548,1,"FBgn0031374","FBtr0113011",1830
"82","chr2L",1926218,1926218,1,"*","SRR21146075_vs_SRR21146078_peak_82",2.91781,"Promoter (1-2kb)",1,1927753,1943939,16187,1,"FBgn0031374","FBtr0110882",-1535
"83","chr2L",1983168,1983168,1,"*","SRR21146075_vs_SRR21146078_peak_83",2.28572,"Promoter (<=1kb)",1,1982217,1984514,2298,1,"FBgn0031379","FBtr0077815",951
"84","chr2L",1987210,1987210,1,"*","SRR21146075_vs_SRR21146078_peak_84",3.80655,"Promoter (<=1kb)",1,1984512,1986955,2444,2,"FBgn0001125","FBtr0077868",-255
"85","chr2L",1988190,1988190,1,"*","SRR21146075_vs_SRR21146078_peak_85",5.3312,"Promoter (<=1kb)",1,1988290,1988940,651,1,"FBgn0031381","FBtr0077816",-100
"86","chr2L",1988606,1988606,1,"*","SRR21146075_vs_SRR21146078_peak_86",2.1793,"Promoter (<=1kb)",1,1988290,1988940,651,1,"FBgn0031381","FBtr0077816",316
"87","chr2L",2009871,2009871,1,"*","SRR21146075_vs_SRR21146078_peak_87",1.72568,"Promoter (<=1kb)",1,2009859,2030536,20678,1,"FBgn0031384","FBtr0330672",12
"88","chr2L",2009999,2009999,1,"*","SRR21146075_vs_SRR21146078_peak_88",5.48305,"Promoter (<=1kb)",1,2009859,2030536,20678,1,"FBgn0031384","FBtr0330672",140
"89","chr2L",2010393,2010393,1,"*","SRR21146075_vs_SRR21146078_peak_89",2.56359,"Promoter (<=1kb)",1,2010646,2010717,72,2,"FBgn0051939","FBtr0077862",324
"90","chr2L",2039849,2039849,1,"*","SRR21146075_vs_SRR21146078_peak_90",1.78058,"Promoter (<=1kb)",1,2039733,2044372,4640,1,"FBgn0003557","FBtr0077824",116
"91","chr2L",2134632,2134632,1,"*","SRR21146075_vs_SRR21146078_peak_91",1.90415,"Exon (FBtr0100485/FBgn0004507, exon 2 of 4)",1,2130813,2137296,6484,1,"FBgn0004507","FBtr0077828",3819
"92","chr2L",2134928,2134928,1,"*","SRR21146075_vs_SRR21146078_peak_92",2.37616,"Exon (FBtr0100485/FBgn0004507, exon 2 of 4)",1,2130813,2137296,6484,1,"FBgn0004507","FBtr0077828",4115
"93","chr2L",2134996,2134996,1,"*","SRR21146075_vs_SRR21146078_peak_93",2.83446,"Intron (FBtr0100485/FBgn0004507, intron 2 of 3)",1,2130813,2137296,6484,1,"FBgn0004507","FBtr0077828",4183
"94","chr2L",2152609,2152609,1,"*","SRR21146075_vs_SRR21146078_peak_94",1.92905,"Promoter (<=1kb)",1,2151754,2155389,3636,1,"FBgn0031392","FBtr0330657",855
"95","chr2L",2153223,2153223,1,"*","SRR21146075_vs_SRR21146078_peak_95",2.37616,"Promoter (1-2kb)",1,2151754,2155389,3636,1,"FBgn0031392","FBtr0330657",1469
"96","chr2L",2154031,2154031,1,"*","SRR21146075_vs_SRR21146078_peak_96",2.37616,"Promoter (1-2kb)",1,2155753,2156790,1038,1,"FBgn0031393","FBtr0077832",-1722
"97","chr2L",2172584,2172584,1,"*","SRR21146075_vs_SRR21146078_peak_97",7.38364,"Intron (FBtr0077850/FBgn0000097, intron 1 of 3)",1,2156484,2178754,22271,2,"FBgn0000097","FBtr0077850",6170
"98","chr2L",2178374,2178374,1,"*","SRR21146075_vs_SRR21146078_peak_98",1.67605,"Promoter (<=1kb)",1,2156484,2178754,22271,2,"FBgn0000097","FBtr0077850",380
"99","chr2L",2178595,2178595,1,"*","SRR21146075_vs_SRR21146078_peak_99",2.37616,"Promoter (<=1kb)",1,2156484,2178754,22271,2,"FBgn0000097","FBtr0077850",159
"100","chr2L",2197339,2197339,1,"*","SRR21146075_vs_SRR21146078_peak_100",3.03554,"Promoter (<=1kb)",1,2192525,2197912,5388,2,"FBgn0085201","FBtr0330663",573
"101","chr2L",2198059,2198059,1,"*","SRR21146075_vs_SRR21146078_peak_101",1.31245,"Promoter (<=1kb)",1,2192525,2197912,5388,2,"FBgn0085201","FBtr0330663",-147
"102","chr2L",2198646,2198646,1,"*","SRR21146075_vs_SRR21146078_peak_102",1.31245,"Promoter (<=1kb)",1,2192525,2197912,5388,2,"FBgn0085201","FBtr0330663",-734
"103","chr2L",2199128,2199128,1,"*","SRR21146075_vs_SRR21146078_peak_103",1.67605,"Promoter (1-2kb)",1,2192525,2197912,5388,2,"FBgn0085201","FBtr0330663",-1216
"104","chr2L",2199757,2199757,1,"*","SRR21146075_vs_SRR21146078_peak_104",1.72568,"Promoter (1-2kb)",1,2192525,2197912,5388,2,"FBgn0085201","FBtr0330663",-1845
"105","chr2L",2201002,2201002,1,"*","SRR21146075_vs_SRR21146078_peak_105",1.69947,"Distal Intergenic",1,2192525,2197912,5388,2,"FBgn0085201","FBtr0330663",-3090
"106","chr2L",2201527,2201527,1,"*","SRR21146075_vs_SRR21146078_peak_106",4.51745,"Distal Intergenic",1,2192525,2197912,5388,2,"FBgn0085201","FBtr0330663",-3615
"107","chr2L",2202140,2202140,1,"*","SRR21146075_vs_SRR21146078_peak_107",1.78058,"Distal Intergenic",1,2203721,2206166,2446,2,"FBgn0051668","FBtr0307523",4026
"108","chr2L",2202884,2202884,1,"*","SRR21146075_vs_SRR21146078_peak_108",4.91686,"Distal Intergenic",1,2203721,2206166,2446,2,"FBgn0051668","FBtr0307523",3282
"109","chr2L",2204876,2204876,1,"*","SRR21146075_vs_SRR21146078_peak_109",2.37616,"Promoter (1-2kb)",1,2203721,2206166,2446,2,"FBgn0051668","FBtr0307523",1290
"110","chr2L",2227275,2227275,1,"*","SRR21146075_vs_SRR21146078_peak_110",1.67605,"Promoter (<=1kb)",1,2226753,2227604,852,2,"FBgn0264945","FBtr0335164",329
"111","chr2L",2243915,2243915,1,"*","SRR21146075_vs_SRR21146078_peak_111",2.37616,"Promoter (1-2kb)",1,2245230,2245901,672,1,"FBgn0262106","FBtr0304029",-1315
"112","chr2L",2306197,2306197,1,"*","SRR21146075_vs_SRR21146078_peak_112",2.79608,"Promoter (1-2kb)",1,2307948,2308872,925,1,"FBgn0031412","FBtr0077758",-1751
"113","chr2L",2309844,2309844,1,"*","SRR21146075_vs_SRR21146078_peak_113",3.03554,"Promoter (1-2kb)",1,2311680,2358167,46488,1,"FBgn0031414","FBtr0344662",-1836
"114","chr2L",2364881,2364881,1,"*","SRR21146075_vs_SRR21146078_peak_114",1.67605,"Promoter (<=1kb)",1,2359566,2364954,5389,2,"FBgn0014010","FBtr0077794",73
"115","chr2L",2370433,2370433,1,"*","SRR21146075_vs_SRR21146078_peak_115",1.69265,"Promoter (1-2kb)",1,2370152,2371524,1373,2,"FBgn0031417","FBtr0077792",1091
"116","chr2L",2434431,2434431,1,"*","SRR21146075_vs_SRR21146078_peak_116",5.1206,"Intron (FBtr0077771/FBgn0000490, intron 1 of 2)",1,2428372,2459823,31452,1,"FBgn0000490","FBtr0077771",6059
"117","chr2L",2572262,2572262,1,"*","SRR21146075_vs_SRR21146078_peak_117",4.84167,"Promoter (<=1kb)",1,2564886,2573037,8152,2,"FBgn0041337","FBtr0077748",775
"118","chr2L",2730053,2730053,1,"*","SRR21146075_vs_SRR21146078_peak_118",2.37616,"Promoter (<=1kb)",1,2730104,2739830,9727,1,"FBgn0031449","FBtr0077705",-51
"119","chr2L",2731208,2731208,1,"*","SRR21146075_vs_SRR21146078_peak_119",3.62038,"Promoter (<=1kb)",1,2730836,2739830,8995,1,"FBgn0031449","FBtr0077708",372
"120","chr2L",2750442,2750442,1,"*","SRR21146075_vs_SRR21146078_peak_120",2.22793,"Promoter (<=1kb)",1,2746880,2750147,3268,2,"FBgn0250906","FBtr0330716",-295
"121","chr2L",2750574,2750574,1,"*","SRR21146075_vs_SRR21146078_peak_121",3.01387,"Promoter (<=1kb)",1,2746880,2750989,4110,2,"FBgn0250906","FBtr0330717",415
"122","chr2L",2751015,2751015,1,"*","SRR21146075_vs_SRR21146078_peak_122",1.78058,"Promoter (<=1kb)",1,2746880,2750989,4110,2,"FBgn0250906","FBtr0330717",-26
"123","chr2L",2752208,2752208,1,"*","SRR21146075_vs_SRR21146078_peak_123",1.67605,"Promoter (<=1kb)",1,2752445,2757920,5476,1,"FBgn0031453","FBtr0335125",-237
"124","chr2L",2754966,2754966,1,"*","SRR21146075_vs_SRR21146078_peak_124",2.22805,"Promoter (1-2kb)",1,2753233,2756663,3431,1,"FBgn0031453","FBtr0077714",1733
"125","chr2L",2755056,2755056,1,"*","SRR21146075_vs_SRR21146078_peak_125",3.03554,"Promoter (1-2kb)",1,2753233,2756663,3431,1,"FBgn0031453","FBtr0077714",1823
"126","chr2L",2755370,2755370,1,"*","SRR21146075_vs_SRR21146078_peak_126",3.21954,"Promoter (2-3kb)",1,2753233,2756663,3431,1,"FBgn0031453","FBtr0077714",2137
"127","chr2L",2755491,2755491,1,"*","SRR21146075_vs_SRR21146078_peak_127",1.72568,"Promoter (2-3kb)",1,2753233,2756663,3431,1,"FBgn0031453","FBtr0077714",2258
"128","chr2L",2758497,2758497,1,"*","SRR21146075_vs_SRR21146078_peak_128",3.03554,"Promoter (<=1kb)",1,2757940,2758176,237,2,"FBgn0265997","FBtr0343107",-321
"129","chr2L",2765375,2765375,1,"*","SRR21146075_vs_SRR21146078_peak_129",2.32013,"Promoter (<=1kb)",1,2763416,2765665,2250,2,"FBgn0031457","FBtr0335129",290
"130","chr2L",2768226,2768226,1,"*","SRR21146075_vs_SRR21146078_peak_130",1.34498,"Promoter (<=1kb)",1,2767890,2768612,723,1,"FBgn0028398","FBtr0077717",336
"131","chr2L",2798010,2798010,1,"*","SRR21146075_vs_SRR21146078_peak_131",2.37453,"Promoter (<=1kb)",1,2797832,2798321,490,1,"FBgn0264369","FBtr0332217",178
"132","chr2L",2864353,2864353,1,"*","SRR21146075_vs_SRR21146078_peak_132",2.37616,"Promoter (1-2kb)",1,2862537,2868548,6012,1,"FBgn0031474","FBtr0077627",1816
"133","chr2L",2888409,2888409,1,"*","SRR21146075_vs_SRR21146078_peak_133",2.79608,"Promoter (<=1kb)",1,2888284,2953077,64794,1,"FBgn0041111","FBtr0290039",125
"134","chr2L",2894343,2894343,1,"*","SRR21146075_vs_SRR21146078_peak_134",3.01169,"Intron (FBtr0077632/FBgn0041111, intron 2 of 12)",1,2890171,2953077,62907,1,"FBgn0041111","FBtr0290041",4172
"135","chr2L",2899224,2899224,1,"*","SRR21146075_vs_SRR21146078_peak_135",1.67605,"Intron (FBtr0077632/FBgn0041111, intron 2 of 12)",1,2890171,2953077,62907,1,"FBgn0041111","FBtr0290041",9053
"136","chr2L",2900915,2900915,1,"*","SRR21146075_vs_SRR21146078_peak_136",2.57109,"Intron (FBtr0077632/FBgn0041111, intron 2 of 12)",1,2890171,2953077,62907,1,"FBgn0041111","FBtr0290041",10744
"137","chr2L",2901310,2901310,1,"*","SRR21146075_vs_SRR21146078_peak_137",2.86267,"Intron (FBtr0077632/FBgn0041111, intron 2 of 12)",1,2890171,2953077,62907,1,"FBgn0041111","FBtr0290041",11139
"138","chr2L",2963458,2963458,1,"*","SRR21146075_vs_SRR21146078_peak_138",1.72568,"3' UTR",1,2959147,2964851,5705,1,"FBgn0010263","FBtr0343782",4311
"139","chr2L",2963645,2963645,1,"*","SRR21146075_vs_SRR21146078_peak_139",3.71285,"3' UTR",1,2959147,2964851,5705,1,"FBgn0010263","FBtr0343782",4498
"140","chr2L",2963796,2963796,1,"*","SRR21146075_vs_SRR21146078_peak_140",3.80164,"3' UTR",1,2959147,2964851,5705,1,"FBgn0010263","FBtr0343782",4649
"141","chr2L",2963933,2963933,1,"*","SRR21146075_vs_SRR21146078_peak_141",2.10584,"3' UTR",1,2959147,2964851,5705,1,"FBgn0010263","FBtr0343782",4786
"142","chr2L",2993550,2993550,1,"*","SRR21146075_vs_SRR21146078_peak_142",1.31245,"Promoter (<=1kb)",1,2992973,2998726,5754,1,"FBgn0025681","FBtr0273230",577
"143","chr2L",2993655,2993655,1,"*","SRR21146075_vs_SRR21146078_peak_143",1.78857,"Promoter (<=1kb)",1,2992973,2998726,5754,1,"FBgn0025681","FBtr0273230",682
