name,chrom,chromStart,chromEnd,score,strand,signalValue,pValue,qValue,peak,annotation,geneStart,geneEnd,geneLength,geneId,transcriptId,distanceToTSS,gene,gene_start,gene_end
SRR21146075_vs_SRR21146078_peak_27,2L,475932,475960,21,.,4.23815,5.48773,2.10584,25,Promoter (<=1kb),476220,540532,64313,FBgn0003963,FBtr0333012,-262,MED15,473013.0,476170.0
SRR21146075_vs_SRR21146078_peak_28,2L,476085,476188,22,.,4.32296,5.61809,2.20979,68,Promoter (<=1kb),476220,540532,64313,FBgn0003963,FBtr0333012,-66,intergenic,,
SRR21146075_vs_SRR21146078_peak_29,2L,477537,477705,23,.,4.98549,5.94877,2.37616,0,Promoter (1-2kb),476220,540532,64313,FBgn0003963,FBtr0333013,1318,cbt,476446.0,479688.0
SRR21146075_vs_SRR21146078_peak_30,2L,477800,477826,28,.,5.10411,6.60034,2.80361,1,Promoter (1-2kb),476220,540532,64313,FBgn0003963,FBtr0333013,1582,cbt,476446.0,479688.0
SRR21146075_vs_SRR21146078_peak_31,2L,483697,483755,23,.,4.53694,5.94877,2.37616,1,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",476446,479688,3243,FBgn0043364,FBtr0310030,-4011,ush,476220.0,540560.0
SRR21146075_vs_SRR21146078_peak_32,2L,485632,486072,16,.,3.38984,4.79185,1.67605,179,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",490835,540532,49698,FBgn0003963,FBtr0310027,-5023,ush,476220.0,540560.0
SRR21146075_vs_SRR21146078_peak_33,2L,492123,492171,42,.,6.05128,8.62699,4.20974,2,Promoter (<=1kb),491879,492649,771,FBgn0267991,FBtr0347590,247,lncRNA:CR46258,490835.0,492649.0
SRR21146075_vs_SRR21146078_peak_34,2L,494189,494378,13,.,3.62269,4.33257,1.31245,92,Promoter (2-3kb),491879,492649,771,FBgn0267991,FBtr0347590,2403,ush,476220.0,540560.0
SRR21146075_vs_SRR21146078_peak_35,2L,511924,511932,63,.,7.24815,11.79399,6.34484,2,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",500873,502236,1364,FBgn0267992,FBtr0347591,-9691,ush,476220.0,540560.0
SRR21146075_vs_SRR21146078_peak_36,2L,574526,574629,40,.,6.06138,8.48637,4.09848,11,Promoter (<=1kb),574508,575734,1227,FBgn0031268,FBtr0078069,30,cold,574291.0,575734.0
SRR21146075_vs_SRR21146078_peak_37,2L,574697,574733,17,.,4.08839,4.98931,1.72568,0,Promoter (<=1kb),574508,575734,1227,FBgn0031268,FBtr0078069,190,cold,574291.0,575734.0
SRR21146075_vs_SRR21146078_peak_38,2L,821641,822223,16,.,3.38984,4.79185,1.67605,355,Promoter (<=1kb),821422,824337,2916,FBgn0031285,FBtr0301908,575,CG3662,821289.0,824337.0
SRR21146075_vs_SRR21146078_peak_39,2L,826792,826869,13,.,3.62269,4.33257,1.31245,4,Promoter (<=1kb),825969,833241,7273,FBgn0010583,FBtr0078015,828,dock,825969.0,833241.0
SRR21146075_vs_SRR21146078_peak_40,2L,844714,844774,21,.,4.67244,5.50908,2.12423,3,Promoter (1-2kb),833587,842943,9357,FBgn0020304,FBtr0078037,-1775,drongo,833584.0,851071.0
SRR21146075_vs_SRR21146078_peak_41,2L,846559,846633,16,.,4.16618,4.69893,1.60316,14,"Intron (FBtr0302120/FBgn0020304, intron 1 of 5)",833587,842943,9357,FBgn0020304,FBtr0078037,-3631,drongo,833584.0,851071.0
SRR21146075_vs_SRR21146078_peak_42,2L,846712,846792,30,.,5.43404,6.95302,3.03554,13,"Intron (FBtr0302120/FBgn0020304, intron 1 of 5)",833587,842943,9357,FBgn0020304,FBtr0078037,-3783,drongo,833584.0,851071.0
SRR21146075_vs_SRR21146078_peak_43,2L,849058,849107,26,.,5.02498,6.3087,2.65927,47,Promoter (1-2kb),850702,851163,462,FBgn0264869,FBtr0334793,-1596,drongo,833584.0,851071.0
SRR21146075_vs_SRR21146078_peak_44,2L,856566,856587,17,.,4.08839,4.98931,1.72568,0,Promoter (<=1kb),857403,860079,2677,FBgn0266884,FBtr0445831,-836,CG13949,855337.0,856639.0
SRR21146075_vs_SRR21146078_peak_45,2L,865858,865941,27,.,5.07649,6.40442,2.7286,36,Promoter (<=1kb),861849,865861,4013,FBgn0029095,FBtr0078033,-34,aru,861849.0,868354.0
SRR21146075_vs_SRR21146078_peak_46,2L,867272,867732,38,.,5.60278,7.97917,3.80655,193,Promoter (<=1kb),861849,868013,6165,FBgn0029095,FBtr0078032,547,aru,861849.0,868354.0
SRR21146075_vs_SRR21146078_peak_47,2L,873978,874021,24,.,4.90876,6.09771,2.49449,25,Promoter (2-3kb),871095,874149,3055,FBgn0053526,FBtr0091486,2909,PNUTS,870465.0,877038.0
SRR21146075_vs_SRR21146078_peak_48,2L,906256,906309,17,.,4.08839,4.98931,1.72568,21,Promoter (2-3kb),904029,904347,319,FBgn0266799,FBtr0345455,2249,intergenic,,
SRR21146075_vs_SRR21146078_peak_49,2L,1024682,1024958,23,.,4.98549,5.94877,2.37616,121,Promoter (2-3kb),1026105,1026897,793,FBgn0031295,FBtr0077997,2093,asRNA:CR46486,1019659.0,1028737.0
SRR21146075_vs_SRR21146078_peak_50,2L,1042873,1043103,17,.,3.92173,5.08049,1.78058,119,Promoter (<=1kb),1011421,1043218,31798,FBgn0031294,FBtr0301416,225,IA-2,1008378.0,1048053.0
SRR21146075_vs_SRR21146078_peak_51,2L,1046249,1046820,49,.,6.5677,9.58664,4.9007,276,Promoter (1-2kb),1008378,1048053,39676,FBgn0031294,FBtr0301417,1527,IA-2,1008378.0,1048053.0
SRR21146075_vs_SRR21146078_peak_52,2L,1047267,1047328,27,.,5.10139,6.45121,2.76619,58,Promoter (<=1kb),1008378,1048053,39676,FBgn0031294,FBtr0301417,727,IA-2,1008378.0,1048053.0
SRR21146075_vs_SRR21146078_peak_53,2L,1047400,1047573,35,.,5.67438,7.61983,3.54712,105,Promoter (<=1kb),1008378,1048053,39676,FBgn0031294,FBtr0301417,547,IA-2,1008378.0,1048053.0
SRR21146075_vs_SRR21146078_peak_54,2L,1049313,1049321,63,.,7.24815,11.79399,6.34484,3,Promoter (1-2kb),1008378,1048053,39676,FBgn0031294,FBtr0301417,-1264,intergenic,,
SRR21146075_vs_SRR21146078_peak_55,2L,1119530,1119537,14,.,3.76984,4.51118,1.45457,4,Promoter (<=1kb),1114654,1119031,4378,FBgn0016926,FBtr0332272,-504,Pino,1114654.0,1128953.0
SRR21146075_vs_SRR21146078_peak_56,2L,1119731,1119738,19,.,4.11701,5.30201,1.95974,2,Promoter (<=1kb),1114654,1119031,4378,FBgn0016926,FBtr0332272,-703,Pino,1114654.0,1128953.0
SRR21146075_vs_SRR21146078_peak_57,2L,1122222,1122302,35,.,5.90657,7.64752,3.57268,48,"Intron (FBtr0077987/FBgn0016926, intron 2 of 4)",1114654,1119031,4378,FBgn0016926,FBtr0332272,-3240,Pino,1114654.0,1128953.0
SRR21146075_vs_SRR21146078_peak_58,2L,1137058,1137088,35,.,5.47768,7.61068,3.54204,2,Promoter (2-3kb),1134693,1141156,6464,FBgn0031306,FBtr0332271,2368,CG4577,1134693.0,1141156.0
SRR21146075_vs_SRR21146078_peak_59,2L,1137269,1137431,37,.,5.55781,7.8839,3.75333,110,Promoter (2-3kb),1134693,1141156,6464,FBgn0031306,FBtr0332271,2687,CG4577,1134693.0,1141156.0
SRR21146075_vs_SRR21146078_peak_60,2L,1137618,1137626,48,.,6.33512,9.54469,4.87373,3,Promoter (2-3kb),1134693,1141156,6464,FBgn0031306,FBtr0332271,2929,CG4577,1134693.0,1141156.0
SRR21146075_vs_SRR21146078_peak_61,2L,1142812,1142869,22,.,4.72784,5.7228,2.29339,1,Promoter (<=1kb),1142869,1143216,348,FBgn0267281,FBtr0346497,-55,intergenic,,
SRR21146075_vs_SRR21146078_peak_62,2L,1155052,1155098,35,.,5.65515,7.58332,3.5204,2,Promoter (1-2kb),1151678,1156311,4634,FBgn0261458,FBtr0100023,1256,capt,1151678.0,1158262.0
SRR21146075_vs_SRR21146078_peak_63,2L,1155160,1155186,16,.,4.23783,4.81944,1.69824,3,Promoter (1-2kb),1151678,1156311,4634,FBgn0261458,FBtr0100023,1147,capt,1151678.0,1158262.0
SRR21146075_vs_SRR21146078_peak_64,2L,1200397,1201034,85,.,9.59231,15.37373,8.57605,364,Promoter (<=1kb),1200778,1201220,443,FBgn0040723,FBtr0077973,-16,intergenic,,
SRR21146075_vs_SRR21146078_peak_65,2L,1218696,1218755,14,.,3.91201,4.48893,1.43483,1,Promoter (<=1kb),1219293,1229802,10510,FBgn0259229,FBtr0299796,-595,intergenic,,
SRR21146075_vs_SRR21146078_peak_66,2L,1219539,1219611,13,.,3.62269,4.33257,1.31245,0,Promoter (<=1kb),1219293,1229802,10510,FBgn0259229,FBtr0299796,247,CG42329,1219293.0,1229802.0
SRR21146075_vs_SRR21146078_peak_67,2L,1361608,1361654,27,.,4.8625,6.58738,2.79608,1,Promoter (<=1kb),1359983,1361735,1753,FBgn0053126,FBtr0077942,125,NLaz,1359837.0,1361821.0
SRR21146075_vs_SRR21146078_peak_68,2L,1381353,1381361,43,.,6.12975,8.861,4.39331,3,Promoter (<=1kb),1380083,1381326,1244,FBgn0266203,FBtr0343843,-31,asRNA:CR44897,1381211.0,1382796.0
SRR21146075_vs_SRR21146078_peak_69,2L,1461162,1461192,17,.,3.92173,5.08049,1.78058,26,Distal Intergenic,1442726,1443316,591,FBgn0263321,FBtr0308745,18463,intergenic,,
SRR21146075_vs_SRR21146078_peak_70,2L,1461270,1461324,17,.,3.92173,5.08049,1.78058,43,Distal Intergenic,1442726,1443316,591,FBgn0263321,FBtr0308745,18588,intergenic,,
SRR21146075_vs_SRR21146078_peak_71,2L,1555348,1555405,23,.,4.22076,5.86499,2.37616,21,Promoter (<=1kb),1555129,1609389,54261,FBgn0261509,FBtr0310019,241,haf,1555129.0,1609389.0
SRR21146075_vs_SRR21146078_peak_72,2L,1555492,1555579,27,.,4.87373,6.50643,2.79608,1,Promoter (<=1kb),1555129,1609389,54261,FBgn0261509,FBtr0310019,365,haf,1555129.0,1609389.0
SRR21146075_vs_SRR21146078_peak_73,2L,1657000,1657063,17,.,3.92173,5.08049,1.78058,58,"Intron (FBtr0077877/FBgn0086758, intron 2 of 6)",1651258,1704682,53425,FBgn0086758,FBtr0307047,5801,chinmo,1651258.0,1704682.0
SRR21146075_vs_SRR21146078_peak_74,2L,1709282,1709461,23,.,4.53694,5.94877,2.37616,58,Promoter (<=1kb),1708452,1709244,793,FBgn0266311,FBtr0344040,889,CG17660,1707132.0,1710421.0
SRR21146075_vs_SRR21146078_peak_75,2L,1726608,1726624,18,.,4.40602,5.22176,1.89598,0,Promoter (1-2kb),1724974,1727717,2744,FBgn0000579,FBtr0077909,1108,Eno,1724768.0,1729636.0
SRR21146075_vs_SRR21146078_peak_76,2L,1737109,1737361,45,.,6.33114,9.08008,4.51745,191,Promoter (<=1kb),1737467,1750612,13146,FBgn0264494,FBtr0077886,-166,CG17646,1732524.0,1750612.0
SRR21146075_vs_SRR21146078_peak_77,2L,1744918,1745192,47,.,6.25144,9.38275,4.74156,176,"Exon (FBtr0077885/FBgn0264494, exon 6 of 12)",1750687,1752122,1436,FBgn0027597,FBtr0077903,7027,CG17646,1732524.0,1750612.0
SRR21146075_vs_SRR21146078_peak_78,2L,1889038,1889098,17,.,4.06729,4.99415,1.72568,0,"Intron (FBtr0113012/FBgn0031374, intron 1 of 18)",1884622,1943818,59197,FBgn0031374,FBtr0077811,4417,Wdr62,1884622.0,1944289.0
SRR21146075_vs_SRR21146078_peak_79,2L,1903034,1903095,40,.,6.05688,8.38782,4.01821,58,"Intron (FBtr0113012/FBgn0031374, intron 1 of 18)",1911742,1943818,32077,FBgn0031374,FBtr0309828,-8649,Wdr62,1884622.0,1944289.0
SRR21146075_vs_SRR21146078_peak_80,2L,1913499,1913506,30,.,5.12649,6.88122,3.01501,3,Promoter (1-2kb),1911742,1944289,32548,FBgn0031374,FBtr0113011,1761,Wdr62,1884622.0,1944289.0
SRR21146075_vs_SRR21146078_peak_81,2L,1913570,1913640,23,.,4.98549,5.94877,2.37616,1,Promoter (1-2kb),1911742,1944289,32548,FBgn0031374,FBtr0113011,1830,Wdr62,1884622.0,1944289.0
SRR21146075_vs_SRR21146078_peak_82,2L,1926216,1926223,29,.,5.04665,6.75247,2.91781,1,Promoter (1-2kb),1927753,1943939,16187,FBgn0031374,FBtr0110882,-1535,Wdr62,1884622.0,1944289.0
SRR21146075_vs_SRR21146078_peak_83,2L,1983105,1983168,22,.,4.6875,5.71267,2.28572,62,Promoter (<=1kb),1982217,1984514,2298,FBgn0031379,FBtr0077815,951,CG7289,1982217.0,1984514.0
SRR21146075_vs_SRR21146078_peak_84,2L,1986842,1987390,38,.,5.88259,7.99793,3.80655,367,Promoter (<=1kb),1984512,1986955,2444,FBgn0001125,FBtr0077868,-255,Got2,1984512.0,1987758.0
SRR21146075_vs_SRR21146078_peak_85,2L,1988128,1988273,53,.,7.54204,10.28919,5.3312,61,Promoter (<=1kb),1988290,1988940,651,FBgn0031381,FBtr0077816,-100,intergenic,,
SRR21146075_vs_SRR21146078_peak_86,2L,1988604,1988636,21,.,4.65543,5.57873,2.1793,1,Promoter (<=1kb),1988290,1988940,651,FBgn0031381,FBtr0077816,316,Npc2a,1988290.0,1988940.0
SRR21146075_vs_SRR21146078_peak_87,2L,2009867,2009876,17,.,4.08839,4.98931,1.72568,3,Promoter (<=1kb),2009859,2030536,20678,FBgn0031384,FBtr0330672,12,CG4238,2009859.0,2030788.0
SRR21146075_vs_SRR21146078_peak_88,2L,2009954,2010251,54,.,7.72645,10.50484,5.48305,44,Promoter (<=1kb),2009859,2030536,20678,FBgn0031384,FBtr0330672,140,CG4238,2009859.0,2030788.0
SRR21146075_vs_SRR21146078_peak_89,2L,2010340,2010398,25,.,4.94583,6.18631,2.56359,52,Promoter (<=1kb),2010646,2010717,72,FBgn0051939,FBtr0077862,324,CG4238,2009859.0,2030788.0
SRR21146075_vs_SRR21146078_peak_90,2L,2039729,2039873,17,.,3.92173,5.08049,1.78058,119,Promoter (<=1kb),2039733,2044372,4640,FBgn0003557,FBtr0077824,116,Su(dx),2037714.0,2044372.0
SRR21146075_vs_SRR21146078_peak_91,2L,2134631,2134673,19,.,4.47273,5.2331,1.90415,0,"Exon (FBtr0100485/FBgn0004507, exon 2 of 4)",2130813,2137296,6484,FBgn0004507,FBtr0077828,3819,GlyP,2130813.0,2137296.0
SRR21146075_vs_SRR21146078_peak_92,2L,2134926,2134933,23,.,4.53694,5.94877,2.37616,1,"Exon (FBtr0100485/FBgn0004507, exon 2 of 4)",2130813,2137296,6484,FBgn0004507,FBtr0077828,4115,GlyP,2130813.0,2137296.0
SRR21146075_vs_SRR21146078_peak_93,2L,2134995,2135012,28,.,5.12651,6.6383,2.83446,0,"Intron (FBtr0100485/FBgn0004507, intron 2 of 3)",2130813,2137296,6484,FBgn0004507,FBtr0077828,4183,GlyP,2130813.0,2137296.0
SRR21146075_vs_SRR21146078_peak_94,2L,2152604,2152611,19,.,4.49548,5.26223,1.92905,4,Promoter (<=1kb),2151754,2155389,3636,FBgn0031392,FBtr0330657,855,AIF,2151754.0,2155389.0
SRR21146075_vs_SRR21146078_peak_95,2L,2153218,2153287,23,.,4.53694,5.94877,2.37616,4,Promoter (1-2kb),2151754,2155389,3636,FBgn0031392,FBtr0330657,1469,AIF,2151754.0,2155389.0
SRR21146075_vs_SRR21146078_peak_96,2L,2153976,2154031,23,.,4.22076,5.86499,2.37616,54,Promoter (1-2kb),2155753,2156790,1038,FBgn0031393,FBtr0077832,-1722,AIF,2151754.0,2155389.0
SRR21146075_vs_SRR21146078_peak_97,2L,2172579,2172587,73,.,8.04336,13.64123,7.38364,4,"Intron (FBtr0077850/FBgn0000097, intron 1 of 3)",2156484,2178754,22271,FBgn0000097,FBtr0077850,6170,aop,2156484.0,2178754.0
SRR21146075_vs_SRR21146078_peak_98,2L,2178372,2178446,16,.,3.38984,4.79185,1.67605,1,Promoter (<=1kb),2156484,2178754,22271,FBgn0000097,FBtr0077850,380,aop,2156484.0,2178754.0
SRR21146075_vs_SRR21146078_peak_99,2L,2178542,2178597,23,.,4.04516,5.9083,2.37616,52,Promoter (<=1kb),2156484,2178754,22271,FBgn0000097,FBtr0077850,159,aop,2156484.0,2178754.0
SRR21146075_vs_SRR21146078_peak_100,2L,2197254,2197406,30,.,5.43404,6.95302,3.03554,84,Promoter (<=1kb),2192525,2197912,5388,FBgn0085201,FBtr0330663,573,COX7AL2,2192525.0,2197912.0
SRR21146075_vs_SRR21146078_peak_101,2L,2198058,2198102,13,.,3.62269,4.33257,1.31245,0,Promoter (<=1kb),2192525,2197912,5388,FBgn0085201,FBtr0330663,-147,intergenic,,
SRR21146075_vs_SRR21146078_peak_102,2L,2198644,2198701,13,.,3.62269,4.33257,1.31245,1,Promoter (<=1kb),2192525,2197912,5388,FBgn0085201,FBtr0330663,-734,intergenic,,
SRR21146075_vs_SRR21146078_peak_103,2L,2199065,2199255,16,.,3.38984,4.79185,1.67605,62,Promoter (1-2kb),2192525,2197912,5388,FBgn0085201,FBtr0330663,-1216,intergenic,,
SRR21146075_vs_SRR21146078_peak_104,2L,2199756,2199771,17,.,4.08839,4.98931,1.72568,0,Promoter (1-2kb),2192525,2197912,5388,FBgn0085201,FBtr0330663,-1845,intergenic,,
SRR21146075_vs_SRR21146078_peak_105,2L,2201001,2201020,16,.,4.13407,4.8207,1.69947,0,Distal Intergenic,2192525,2197912,5388,FBgn0085201,FBtr0330663,-3090,intergenic,,
SRR21146075_vs_SRR21146078_peak_106,2L,2201469,2201607,45,.,6.33114,9.08008,4.51745,57,Distal Intergenic,2192525,2197912,5388,FBgn0085201,FBtr0330663,-3615,intergenic,,
SRR21146075_vs_SRR21146078_peak_107,2L,2202003,2202299,17,.,3.92173,5.08049,1.78058,136,Distal Intergenic,2203721,2206166,2446,FBgn0051668,FBtr0307523,4026,intergenic,,
SRR21146075_vs_SRR21146078_peak_108,2L,2202785,2202950,49,.,6.39593,9.60486,4.91686,98,Distal Intergenic,2203721,2206166,2446,FBgn0051668,FBtr0307523,3282,intergenic,,
SRR21146075_vs_SRR21146078_peak_109,2L,2204791,2204918,23,.,4.53694,5.94877,2.37616,84,Promoter (1-2kb),2203721,2206166,2446,FBgn0051668,FBtr0307523,1290,CG31668,2203721.0,2206166.0
SRR21146075_vs_SRR21146078_peak_110,2L,2227151,2227489,16,.,3.38984,4.79185,1.67605,123,Promoter (<=1kb),2226753,2227604,852,FBgn0264945,FBtr0335164,329,asRNA:CR44114,2226753.0,2227604.0
SRR21146075_vs_SRR21146078_peak_111,2L,2243850,2243915,23,.,4.53694,5.94877,2.37616,64,Promoter (1-2kb),2245230,2245901,672,FBgn0262106,FBtr0304029,-1315,CG4267,2242378.0,2245274.0
SRR21146075_vs_SRR21146078_peak_112,2L,2306193,2306292,27,.,4.8625,6.58738,2.79608,3,Promoter (1-2kb),2307948,2308872,925,FBgn0031412,FBtr0077758,-1751,intergenic,,
SRR21146075_vs_SRR21146078_peak_113,2L,2309801,2310114,30,.,5.24453,6.91919,3.03554,42,Promoter (1-2kb),2311680,2358167,46488,FBgn0031414,FBtr0344662,-1836,CG9967,2308761.0,2357356.0
SRR21146075_vs_SRR21146078_peak_114,2L,2364467,2365147,16,.,3.38984,4.79185,1.67605,413,Promoter (<=1kb),2359566,2364954,5389,FBgn0014010,FBtr0077794,73,Rab5,2359142.0,2365273.0
SRR21146075_vs_SRR21146078_peak_115,2L,2370432,2370466,16,.,4.23389,4.81275,1.69265,0,Promoter (1-2kb),2370152,2371524,1373,FBgn0031417,FBtr0077792,1091,CG3597,2370152.0,2371524.0
SRR21146075_vs_SRR21146078_peak_116,2L,2434427,2434434,51,.,6.45293,9.99774,5.1206,3,"Intron (FBtr0077771/FBgn0000490, intron 1 of 2)",2428372,2459823,31452,FBgn0000490,FBtr0077771,6059,dpp,2428372.0,2459823.0
SRR21146075_vs_SRR21146078_peak_117,2L,2572258,2572351,48,.,6.58482,9.50983,4.84167,3,Promoter (<=1kb),2564886,2573037,8152,FBgn0041337,FBtr0077748,775,Cyp309a2,2564886.0,2573037.0
SRR21146075_vs_SRR21146078_peak_118,2L,2730042,2730054,23,.,4.80255,5.87626,2.37616,10,Promoter (<=1kb),2730104,2739830,9727,FBgn0031449,FBtr0077705,-51,CG31689,2725674.0,2739830.0
SRR21146075_vs_SRR21146078_peak_119,2L,2731176,2731277,36,.,5.95185,7.71502,3.62038,31,Promoter (<=1kb),2730836,2739830,8995,FBgn0031449,FBtr0077708,372,CG31689,2725674.0,2739830.0
SRR21146075_vs_SRR21146078_peak_120,2L,2750391,2750442,22,.,4.76624,5.64036,2.22793,50,Promoter (<=1kb),2746880,2750147,3268,FBgn0250906,FBtr0330716,-295,Pgk,2746880.0,2753068.0
SRR21146075_vs_SRR21146078_peak_121,2L,2750504,2750625,30,.,5.12644,6.87948,3.01387,69,Promoter (<=1kb),2746880,2750989,4110,FBgn0250906,FBtr0330717,415,Pgk,2746880.0,2753068.0
SRR21146075_vs_SRR21146078_peak_122,2L,2750777,2751218,17,.,3.92173,5.08049,1.78058,237,Promoter (<=1kb),2746880,2750989,4110,FBgn0250906,FBtr0330717,-26,Pgk,2746880.0,2753068.0
SRR21146075_vs_SRR21146078_peak_123,2L,2751955,2752474,16,.,3.38984,4.79185,1.67605,252,Promoter (<=1kb),2752445,2757920,5476,FBgn0031453,FBtr0335125,-237,Pgk,2746880.0,2753068.0
SRR21146075_vs_SRR21146078_peak_124,2L,2754932,2754967,22,.,4.64562,5.64194,2.22805,33,Promoter (1-2kb),2753233,2756663,3431,FBgn0031453,FBtr0077714,1733,Bacc,2752445.0,2757975.0
SRR21146075_vs_SRR21146078_peak_125,2L,2755034,2755224,30,.,5.43404,6.95302,3.03554,21,Promoter (1-2kb),2753233,2756663,3431,FBgn0031453,FBtr0077714,1823,Bacc,2752445.0,2757975.0
