rank	gene	combined_binding_score	chr	start	end	transcript	FBid
62	CadN	4.66687498597118	2L	17752345	17752346	FBtr0081018	FBgn0015609
63	disco	4.64507084415915	X	16216745	16216746	FBtr0100384	FBgn0000459
64	CG45546	4.6318624999995	3R	29369338	29369339	FBtr0346200	FBgn0267106
65	CG43188	4.61272916636275	2R	11085586	11085587	FBtr0306049	FBgn0262817
66	Obp56g	4.61185832601041	2R	19784042	19784043	FBtr0086342	FBgn0034474
67	CG6739	4.5398874938488	2L	7608389	7608390	FBtr0079472	FBgn0031926
68	PsGEF	4.53512549456687	X	2387663	2387664	FBtr0333532	FBgn0264598
69	CG32450	4.5184791670957	3L	22329778	22329779	FBtr0078501	FBgn0052450
70	CG5397	4.46999996869514	2L	1240036	1240037	FBtr0077920	FBgn0031327
71	CG15576	4.46718750405125	X	4252789	4252790	FBtr0070661	FBgn0029700
72	side	4.42770834934587	3R	27437481	27437482	FBtr0085168	FBgn0016061
73	pyr	4.40812678438877	2R	11712263	11712264	FBtr0113070	FBgn0033649
74	Fer1	4.36367501777907	3R	7136206	7136207	FBtr0081567	FBgn0037475
75	CG1239	4.32765002548695	3R	5733513	5733514	FBtr0078720	FBgn0037368
76	Lsp1beta	4.31383332144469	2L	898500	898501	FBtr0345738	FBgn0002563
77	CG31010	4.29954164475203	3R	30706120	30706121	FBtr0085725	FBgn0051010
78	Osi21	4.28216665859024	2L	11285705	11285706	FBtr0080214	FBgn0283678
79	Rca1	4.2816875219966	2L	6852315	6852316	FBtr0079342	FBgn0017551
80	Ptp99A	4.2301125317812	3R	29377646	29377647	FBtr0303148	FBgn0004369
81	Rich	4.21625831481069	3L	22262920	22262921	FBtr0078512	FBgn0028500
82	tap	4.21516664028168	3L	17359682	17359683	FBtr0075216	FBgn0015550
83	caup	4.21391668294867	3L	12609631	12609632	FBtr0075909	FBgn0015919
84	CG34433	4.21091665172329	3R	30649961	30649962	FBtr0112734	FBgn0085462
85	unc-5	4.19162498709435	2R	15340472	15340473	FBtr0339998	FBgn0034013
86	mirr	4.17457083361223	3L	12693639	12693640	FBtr0075912	FBgn0014343
87	CG13898	4.15250003027419	3L	804050	804051	FBtr0072599	FBgn0035161
88	CG12688	4.1470416710712	X	4380758	4380759	FBtr0308918	FBgn0029707
89	Sema2b	4.13960414974523	2R	16386524	16386525	FBtr0290009	FBgn0264273
90	skl	4.13220829733958	3L	18439941	18439942	FBtr0075119	FBgn0036786
91	Tl	4.12866666420208	3R	26799041	26799042	FBtr0085059	FBgn0262473
92	CG3942	4.11941665907701	3R	12254187	12254188	FBtr0082561	FBgn0038008
93	CG34355	4.06625000449518	3R	23803859	23803860	FBtr0345324	FBgn0085384
94	nvy	4.04417709742362	2R	24275734	24275735	FBtr0072267	FBgn0005636
95	CG43402	3.99943392937338	2L	1442627	1442628	FBtr0343842	FBgn0263321
96	CG11873	3.97372914516988	3R	29063040	29063041	FBtr0085365	FBgn0039633
97	CG11356	3.97175002843142	X	12103839	12103840	FBtr0073635	FBgn0030375
98	pum	3.95179165011117	3R	9157949	9157950	FBtr0081994	FBgn0003165
99	scrt	3.95092914054791	3L	3983896	3983897	FBtr0073165	FBgn0004880
100	CG10750	3.94017084700366	2L	19300255	19300256	FBtr0081196	FBgn0032769
101	Naam	3.93883332625652	3R	19671450	19671451	FBtr0083786	FBgn0051216
102	SkpD	3.92758336911599	X	19812729	19812730	FBtr0074796	FBgn0026174
103	side-IV	3.91820832695036	3R	13450590	13450591	FBtr0303259	FBgn0038156
104	CG13287	3.91770830036451	3L	5882304	5882305	FBtr0077027	FBgn0035643
105	drl	3.90558336131896	2L	19190342	19190343	FBtr0081195	FBgn0015380
106	CG9483	3.78720003018777	2L	8866767	8866768	FBtr0079738	FBgn0032072
107	hng3	3.7448912874747	3L	739348	739349	FBtr0072601	FBgn0035160
108	CG31275	3.73356308456333	3R	16751333	16751334	FBtr0083346	FBgn0063261
109	CG45413	3.72650831943999	3L	6931949	6931950	FBtr0345862	FBgn0266962
110	trv	3.67122083667976	3R	28026615	28026616	FBtr0344217	FBgn0085391
111	CG10479	3.64766664430499	3L	5976006	5976007	FBtr0077070	FBgn0035656
112	E2f1	3.64294444800665	3R	21632692	21632693	FBtr0334678	FBgn0011766
113	CG44290	3.62518750946037	3R	27440943	27440944	FBtr0339326	FBgn0265317
114	pb	3.62025833154718	3R	6742062	6742063	FBtr0089278	FBgn0051481
115	Gld2	3.59383334436764	3R	22211824	22211825	FBtr0310204	FBgn0038934
116	disco-r	3.57229444003573	X	16124331	16124332	FBtr0310303	FBgn0285879
117	px	3.57125000655651	2R	22514098	22514099	FBtr0331941	FBgn0003175
118	CG7956	3.56809582943097	3R	21520928	21520929	FBtr0084112	FBgn0038890
119	CG13325	3.52377915652469	2R	13110769	13110770	FBtr0339748	FBgn0033792
120	CG18586	3.52279167746504	3L	5873311	5873312	FBtr0331562	FBgn0035642
121	CG30430	3.49906248226762	2R	25129432	25129433	FBtr0072448	FBgn0050430
122	ACXC	3.49735836529483	2L	12912530	12912531	FBtr0080413	FBgn0040508
123	Drl-2	3.4967000182718	2R	13079538	13079539	FBtr0087794	FBgn0033791
124	CG17344; CG43731	3.49571427854798					
125	Bx	3.49535830933601	X	18515428	18515429	FBtr0340363	FBgn0265598
126	CG12496	3.49524970066878	X	2410900	2410901	FBtr0070462	FBgn0040385
127	CG17999	3.47301665941874	2R	20849938	20849939	FBtr0071561	FBgn0034552
128	CG33259	3.47294585757578	3L	15407832	15407833	FBtr0075615	FBgn0036495
129	CG14891	3.44376188407408	3R	16571515	16571516	FBtr0083301	FBgn0038445
130	NetA	3.42720834972958	X	14653833	14653834	FBtr0073942	FBgn0015773
131	ab	3.41022501652478	2L	11210678	11210679	FBtr0332558	FBgn0264442
132	CG31928	3.40610831729136	2L	1492295	1492296	FBtr0077929	FBgn0051928
133	CG4704	3.38416669116123	3R	22845686	22845687	FBtr0084314	FBgn0039029
134	DNApol-iota	3.35595829536518	3R	8233507	8233508	FBtr0081797	FBgn0037554
135	tbrd-2	3.35512500423938	2R	19259909	19259910	FBtr0086511	FBgn0034423
136	Ca-alpha1T	3.34089166798318	X	6192482	6192483	FBtr0089393	FBgn0264386
137	SoxN	3.33833749629557	2L	8825645	8825646	FBtr0079733	FBgn0029123
138	CG14926	3.32810713560875	2L	11343237	11343238	FBtr0345464	FBgn0032360
139	E(spl)mgamma-HLH	3.29822852770149	3R	25999851	25999852	FBtr0084955	FBgn0002735
140	CG15040	3.29781252456208	X	18617588	18617589	FBtr0074618	FBgn0030940
141	CycE	3.2672247041039	2L	15731783	15731784	FBtr0080777	FBgn0010382
142	shep	3.26459166308244	3L	5184796	5184797	FBtr0301599	FBgn0052423
143	salm	3.24225001254429	2L	11445613	11445614	FBtr0089913	FBgn0261648
144	beat-VI	3.24043752757522	3R	28418208	28418209	FBtr0085289	FBgn0039584
145	tup	3.23623749949038	2L	18881260	18881261	FBtr0081112	FBgn0003896
146	CG12007	3.22930000722408	3R	5128087	5128088	FBtr0078842	FBgn0037293
147	CG7329	3.20074999076314	2L	10631190	10631191	FBtr0080131	FBgn0032271
148	CG13539	3.19860000411669	2R	23183977	23183978	FBtr0343195	FBgn0034833
149	CG1324	3.18183334668477	X	20735959	20735960	FBtr0077293	FBgn0031129
150	Gug	3.15802083148932	3L	8449922	8449923	FBtr0076619	FBgn0010825
151	sick	3.13706250747976	2L	19796365	19796366	FBtr0329838	FBgn0263873
152	CG6414	3.13237500997881	X	3971349	3971350	FBtr0070624	FBgn0029690
153	modSP	3.13167499426442	3R	16655661	16655662	FBtr0083353	FBgn0051217
154	rhea	3.13093751963849	3L	8545001	8545002	FBtr0305211	FBgn0260442
155	unc-4	3.12920833875736	X	17768569	17768570	FBtr0340627	FBgn0024184
156	SkpE	3.12107293897619	X	19824079	19824080	FBtr0074806	FBgn0031074
157	CG43403	3.11374998940543	2L	2620187	2620188	FBtr0308746	FBgn0263322
158	CG7084	3.10968751149873	3R	22298805	22298806	FBtr0084201	FBgn0038938
159	CG15452	3.10290833910306	X	20745964	20745965	FBtr0077292	FBgn0031130
160	Fas1	3.08852380797977	3R	16625238	16625239	FBtr0083334	FBgn0285925
161	CG14662	3.08057498177514	3R	4984231	4984232	FBtr0078846	FBgn0037291
162	robo2	3.07913096830071	2L	1420452	1420453	FBtr0077941	FBgn0002543
163	ATPsynCF6L	3.04274997115135	3L	5012132	5012133	FBtr0073372	FBgn0035585
164	Spn100A	3.02577500659972	3R	30690642	30690643	FBtr0085698	FBgn0039795
165	CG43198	3.01782501417523	X	7453335	7453336	FBtr0306067	FBgn0262827
166	VAChT; ChAT	3.00212499185					
167	CG13323	2.98675692900239	2R	13047255	13047256	FBtr0087797	FBgn0033788
168	CG13872	2.9813624989707	2R	19880919	19880920	FBtr0086341	FBgn0034477
169	DIP-gamma	2.97793750581332	3R	28970371	28970372	FBtr0085347	FBgn0039617
170	CG43329	2.96929167459408	3L	22505217	22505218	FBtr0306914	FBgn0263034
171	CG43448	2.95926665092508	3R	30237733	30237734	FBtr0309181	FBgn0263402
172	Ada	2.94508333030778	3R	9065183	9065184	FBtr0081971	FBgn0037661
173	CecC	2.93733333920439	3R	30216484	30216485	FBtr0085616	FBgn0000279
174	CG33483	2.93515000864863	3R	30901434	30901435	FBtr0089295	FBgn0053483
175	chn	2.93016666173935	2R	15115236	15115237	FBtr0087416	FBgn0015371
176	CG7304	2.91942501291633	3L	15679720	15679721	FBtr0075577	FBgn0036527
177	Best4	2.90304585196233	3L	15298958	15298959	FBtr0113172	FBgn0036491
178	H15	2.90142361025533	2L	5404280	5404281	FBtr0079076	FBgn0016660
179	lsn	2.89754167199135	3R	21865168	21865169	FBtr0084135	FBgn0260940
180	gskt	2.86838336568326	3R	31372427	31372428	FBtr0085784	FBgn0046332
181	CG6244	2.86578751718625	3L	15808322	15808323	FBtr0075502	FBgn0036531
182	CG6345	2.86529164140423	3R	10416045	10416046	FBtr0082258	FBgn0037816
183	C15	2.86135831826056	3R	21499986	21499987	FBtr0084111	FBgn0004863
184	eya	2.85701488278158	2L	6530508	6530509	FBtr0306113	FBgn0000320
185	nub	2.84855415807882	2L	12587625	12587626	FBtr0112642	FBgn0085424
186	Or67d	2.84818750437504	3L	10273204	10273205	FBtr0076297	FBgn0036080
187	emc	2.83995001415412	3L	749400	749401	FBtr0072578	FBgn0000575
188	stan	2.83887501674083	2R	10673345	10673346	FBtr0304899	FBgn0024836
189	lov	2.82337500543799	2R	25098285	25098286	FBtr0072458	FBgn0266129
190	Nrt	2.8141458346198	3L	16766072	16766073	FBtr0075322	FBgn0004108
191	CG2577	2.80833750506087	X	12373118	12373119	FBtr0073643	FBgn0030384
192	pdm3	2.80483334930614	2R	8327490	8327491	FBtr0302919	FBgn0261588
193	CG42580	2.79033333439535	X	20574282	20574283	FBtr0301564	FBgn0260870
194	CG43138	2.78964165151119	X	7528304	7528305	FBtr0305286	FBgn0262612
195	CG12831	2.78437856659293	2R	7074151	7074152	FBtr0300063	FBgn0033141
196	hwt	2.77620836828525	X	12531232	12531233	FBtr0333155	FBgn0264542
197	CG9570	2.75922915727521	X	20051294	20051295	FBtr0070002	FBgn0031085
198	dpr12	2.75039583964584	2R	5804712	5804713	FBtr0300553	FBgn0085414
199	CG12362	2.741333367874	3L	10412818	10412819	FBtr0076282	FBgn0036082
200	CG44013	2.7410833388567	3R	15509916	15509917	FBtr0334151	FBgn0264775
201	CG6481	2.73998332470655	X	18522444	18522445	FBtr0074620	FBgn0030936
202	fkh	2.73839584854431	3R	28585111	28585112	FBtr0085321	FBgn0000659
203	Fas2	2.73037500396992	X	4206092	4206093	FBtr0070665	FBgn0000635
204	Ptx1	2.73007500143722	3R	30912754	30912755	FBtr0089391	FBgn0020912
205	Su(z)2	2.71410414731751	2R	12996501	12996502	FBtr0300387	FBgn0265623
206	Toll-6	2.69925118063887	3L	15336692	15336693	FBtr0075614	FBgn0036494
207	heph	2.69258750912268	3R	31935169	31935170	FBtr0085880	FBgn0011224
208	Alh	2.6763142792375	3R	7108423	7108424	FBtr0081614	FBgn0261238
209	ush	2.65295078364896	2L	476220	476221	FBtr0333013	FBgn0003963
210	cpo	2.64345831272658	3R	17919832	17919833	FBtr0330273	FBgn0263995
211	Trxr-2	2.63876489752771	3L	22550226	22550227	FBtr0078514	FBgn0037170
212	CG6660	2.63637498548875	3R	22923352	22923353	FBtr0084338	FBgn0039030
213	comm	2.62747915803144	3L	15728429	15728430	FBtr0075579	FBgn0010105
214	dap	2.60366664330165	2R	9712321	9712322	FBtr0088469	FBgn0010316
215	psq	2.60156666593005	2R	10557888	10557889	FBtr0088275	FBgn0263102
216	CycG	2.58068750840612	3R	31609814	31609815	FBtr0085803	FBgn0039858
217	Ilp6	2.57025001943111	X	2332407	2332408	FBtr0303997	FBgn0044047
218	Parp16	2.56052084018787	2R	16445986	16445987	FBtr0087159	FBgn0034129
219	Optix	2.5584999883237	2R	8031283	8031284	FBtr0329885	FBgn0025360
220	CG33648	2.55477855741268	2L	14524312	14524313	FBtr0343695	FBgn0053648
221	CG15429	2.54685001826535	2L	4352975	4352976	FBtr0077428	FBgn0031596
222	opa	2.53509999089874	3R	4852813	4852814	FBtr0078836	FBgn0003002
223	Slob	2.52964584638054	2L	7659566	7659567	FBtr0330697	FBgn0264087
224	CG7567	2.52688393958046	3R	29588103	29588104	FBtr0085472	FBgn0039670
225	pdm2	2.51935415652891	2L	12657165	12657166	FBtr0340540	FBgn0004394
226	CG12877	2.51704165331709	3R	27707100	27707101	FBtr0100446	FBgn0039544
227	danr	2.50147916772403	3R	25138072	25138073	FBtr0084780	FBgn0039283
228	Dr	2.50052083209157	3R	29556386	29556387	FBtr0085441	FBgn0000492
229	robo3	2.49564583479272	2L	1256417	1256418	FBtr0077921	FBgn0041097
230	Cpr35B	2.49351190855461	2L	14425188	14425189	FBtr0080633	FBgn0028871
231	RapGAP1	2.49173749242909	2L	7530573	7530574	FBtr0334847	FBgn0264895
232	apt	2.48972918357079	2R	23564891	23564892	FBtr0072066	FBgn0015903
233	CG3650	2.46792858885601	2R	24848994	24848995	FBtr0072380	FBgn0035070
234	fz	2.46618750249036	3L	14274343	14274344	FBtr0075743	FBgn0001085
235	LpR1	2.44899998605251	3R	25752994	25752995	FBtr0113480	FBgn0066101
236	ApepP	2.44895831045384	2L	16910417	16910418	FBtr0080956	FBgn0026150
237	CG34161	2.44679165755709	2L	10581701	10581702	FBtr0112352	FBgn0085190
238	sna	2.44436249092687	2L	15478259	15478260	FBtr0080739	FBgn0003448
239	Octbeta2R	2.43747916328721	3R	12561165	12561166	FBtr0100019	FBgn0038063
240	uzip	2.43169998638332	2R	25012062	25012063	FBtr0072397	FBgn0004055
241	eIF4H2	2.42375002118448	3R	30726087	30726088	FBtr0085699	FBgn0039797
242	ct	2.42367856571273	X	7608428	7608429	FBtr0331733	FBgn0004198
243	CG45603	2.41995832438503	X	12274635	12274636	FBtr0346284	FBgn0267163
244	CG43335	2.41868333835155	3R	15635468	15635469	FBtr0306929	FBgn0263040
245	tna	2.40827082904677	3L	10835528	10835529	FBtr0475045	FBgn0026160
246	smal	2.40408333013766	2L	6179133	6179134	FBtr0112617	FBgn0085409
247	mub	2.4039333376723	3L	21844788	21844789	FBtr0304982	FBgn0262737
248	mrj	2.401625030383	2R	16206237	16206238	FBtr0087196	FBgn0034091
249	Spn28Db	2.40002083797784	2L	7890703	7890704	FBtr0473606	FBgn0053121
250	CG10013	2.39929167026033	3R	12323521	12323522	FBtr0082567	FBgn0038012
251	Cyp6v1	2.39229999475979	X	20657122	20657123	FBtr0077276	FBgn0031126
252	CG46458; Antp	2.38839583750814					
253	CG13321	2.38227500906214	2R	12953112	12953113	FBtr0345371	FBgn0033787
254	CG17198	2.37756249805291	3R	25774398	25774399	FBtr0084924	FBgn0039366
255	CG11453	2.37455000424137	3R	19783522	19783523	FBtr0083791	FBgn0038734
256	CheA84a	2.3725000099279	3R	8204829	8204830	FBtr0091780	FBgn0261290
257	CG4891	2.36016665851154	2L	16094997	16094998	FBtr0080815	FBgn0028520
258	nkd	2.35577081890466	3L	19045448	19045449	FBtr0075039	FBgn0002945
259	shakB	2.34454166143357	X	20788144	20788145	FBtr0112572	FBgn0085387
260	glec	2.34304166647295	3R	21856265	21856266	FBtr0084157	FBgn0015229
261	jar	2.34275001993228	3R	24259487	24259488	FBtr0084636	FBgn0011225
262	AstA-R2	2.34218750855265	3R	28744781	28744782	FBtr0085316	FBgn0039595
263	CG46270	2.33591665141284	3R	10428423	10428424	FBtr0415454	FBgn0278600
264	Abd-B	2.33366665973639	3R	16934241	16934242	FBtr0083384	FBgn0000015
265	CG15145	2.33174999492864	2L	17532233	17532234	FBtr0080991	FBgn0032649
266	kek1	2.32241667853668	2L	12822786	12822787	FBtr0332210	FBgn0015399
267	wuc	2.29775000363588	2R	12700081	12700082	FBtr0087849	FBgn0033770
268	Uba1	2.28453749343753	2R	9693327	9693328	FBtr0088499	FBgn0023143
269	CG12684	2.28369318137199	X	4571928	4571929	FBtr0070697	FBgn0029717
270	spri	2.26150000223424	X	10493735	10493736	FBtr0112690	FBgn0085443
271	LS2	2.25593749433756	2R	23211538	23211539	FBtr0072052	FBgn0034834
272	Dgk	2.24333333379279	2R	7847416	7847417	FBtr0112579	FBgn0085390
273	stumps	2.23766667225088	3R	14577217	14577218	FBtr0112893	FBgn0020299
274	trh	2.23669167353461	3L	377315	377316	FBtr0304121	FBgn0262139
275	PpY-55A	2.23125001617397	2R	17956569	17956570	FBtr0086817	FBgn0003140
276	tun	2.2247083298862	2R	15794000	15794001	FBtr0340013	FBgn0034046
277	Pgm2b	2.20920833003604	2R	14819986	14819987	FBtr0087464	FBgn0033969
278	PVRAP	2.19474999792874	3L	5997208	5997209	FBtr0077037	FBgn0052406
279	CG44569	2.19185417148595	2R	19843667	19843668	FBtr0340727	FBgn0265762
280	CAH15	2.19095834561934	2R	20909704	20909705	FBtr0071517	FBgn0034560
281	cocoon	2.18893750788023	3L	15474109	15474110	FBtr0075617	FBgn0036496
282	Appl	2.18169166501612	X	530501	530502	FBtr0070109	FBgn0000108
283	CG14506	2.17841785107074	3R	29297179	29297180	FBtr0334875	FBgn0039659
284	hppy	2.16741666477174	2R	19178738	19178739	FBtr0086504	FBgn0263395
285	InR	2.15994643476526	3R	21590190	21590191	FBtr0290232	FBgn0283499
286	CG17350	2.15804166424399	2L	19380930	19380931	FBtr0081199	FBgn0032772
287	Ets98B	2.15727083619762	3R	27736538	27736539	FBtr0085224	FBgn0005659
288	CG12689	2.15568122975528	X	7586130	7586131	FBtr0071081	FBgn0029952
289	RhoGAP100F	2.14627084993602	3R	31812609	31812610	FBtr0302181	FBgn0039883
290	dany	2.14222916863704	2R	21986937	21986938	FBtr0071731	FBgn0050401
291	RFeSP	2.13956250390038	2L	1614159	1614160	FBtr0077915	FBgn0021906
292	Obp56h	2.13706071972847	2R	19815554	19815555	FBtr0086335	FBgn0034475
293	CG6175	2.13133332009117	3L	11294787	11294788	FBtr0076183	FBgn0036152
294	CG3655	2.12884165636885	X	1082438	1082439	FBtr0070181	FBgn0040397
295	ara	2.12799999862909	3L	12580672	12580673	FBtr0075908	FBgn0015904
296	futsch	2.12456250656396	X	1409069	1409070	FBtr0307598	FBgn0259108
297	ND-B14.7	2.12379999998957	2R	21025078	21025079	FBtr0071530	FBgn0034576
298	Diedel3	2.12143749541913	X	19050442	19050443	FBtr0112531	FBgn0085358
299	beat-IIa	2.11566667429482	3R	17346332	17346333	FBtr0339170	FBgn0038498
300	Sfp87B	2.11148333027959	3R	12273126	12273127	FBtr0300319	FBgn0259975
301	CG43658	2.09923095580501	X	17475472	17475473	FBtr0342803	FBgn0263706
302	CG4293	2.09669229929632	X	529848	529849	FBtr0070090	FBgn0024983
303	CG43867	2.08404583317849	X	836355	836356	FBtr0332610	FBgn0264449
304	cv-c	2.08159583820185	3R	14405449	14405450	FBtr0112631	FBgn0285955
305	Atf3	2.05667708981006	X	1275283	1275284	FBtr0070244	FBgn0028550
306	CG12147	2.04096251623705	3R	5427256	5427257	FBtr0078793	FBgn0037325
307	TkR99D	2.04086249303073	3R	29969446	29969447	FBtr0085507	FBgn0004622
308	shg	2.03807917670929	2R	21057196	21057197	FBtr0071546	FBgn0003391
309	Con	2.03792500905693	3L	4976175	4976176	FBtr0073375	FBgn0005775
310	chinmo	2.03491666292151	2L	1651258	1651259	FBtr0077877	FBgn0086758
311	E5	2.0338722233971	3R	13874915	13874916	FBtr0082880	FBgn0008646
312	CG1090	2.03274999558926	3R	4359883	4359884	FBtr0332449	FBgn0037238
313	CG14346	2.02954165637493	2L	1367996	1367997	FBtr0343838	FBgn0031337
314	slp2	2.0107946387226	2L	3836840	3836841	FBtr0077500	FBgn0004567
315	DNApol-epsilon58	2.00741667548815	3L	5897434	5897435	FBtr0077081	FBgn0035644
316	CG44956	1.99787499507268	3R	12341674	12341675	FBtr0343913	FBgn0266261
317	CG15283	1.98801040221588	2L	14450921	14450922	FBtr0300837	FBgn0028844
318	CG42673	1.98662497553354	3L	9547220	9547221	FBtr0302709	FBgn0261555
319	gsb	1.98659166252861	2R	25061964	25061965	FBtr0072444	FBgn0001148
320	sli	1.9776666611433	2R	15890916	15890917	FBtr0330733	FBgn0264089
321	CG46443	1.97702084310974	2R	20076493	20076494	FBtr0475313	FBgn0287213
322	CG16791	1.97218750603497	3R	21349600	21349601	FBtr0084095	FBgn0038881
323	Lac	1.96987499669194	2R	12453190	12453191	FBtr0087933	FBgn0010238
324	Sfp79B	1.96897500324994	3L	22080322	22080323	FBtr0300318	FBgn0259973
325	Spn47C	1.96133334065477	2R	10941668	10941669	FBtr0088211	FBgn0033574
326	B-H1	1.95797949498519	X	17397478	17397479	FBtr0074430	FBgn0011758
327	Fer1HCH	1.95562499016523	3R	30387599	30387600	FBtr0306587	FBgn0015222
328	lace	1.95450000739656	2L	15499127	15499128	FBtr0080738	FBgn0002524
329	CG15599	1.9413500091061	X	15688856	15688857	FBtr0347265	FBgn0030667
330	mld	1.93751310152667	3R	24585653	24585654	FBtr0111012	FBgn0263490
331	CG9294	1.9311500168095	2R	21860825	21860826	FBtr0071720	FBgn0034666
332	beat-Vc	1.92464583140099	3R	12783215	12783216	FBtr0473583	FBgn0038084
333	CG30419	1.91841666400433	2R	24229794	24229795	FBtr0072275	FBgn0050419
334	Rdl	1.91805000137538	3L	9177541	9177542	FBtr0076534	FBgn0004244
335	Traf4	1.91535418071241	2L	4361925	4361926	FBtr0334401	FBgn0026319
336	CG17300	1.91134999990463	3L	13087288	13087289	FBtr0075892	FBgn0036345
337	QIL1	1.90941667013491	3L	17465945	17465946	FBtr0075220	FBgn0036726
