rank	gene	combined_binding_score	chr	start	end	transcript	FBid
59	CG43131	5.74845417076722	3R	5109177	5109178	FBtr0305279	FBgn0262605
60	Obp56g	5.73129881806672	2R	19784042	19784043	FBtr0086342	FBgn0034474
61	CG42807	5.72244584779773	2R	13572543	13572544	FBtr0303819	FBgn0261989
62	dan	5.69467857803795	3R	25184383	25184384	FBtr0330289	FBgn0039286
63	SKIP	5.50332437239454	3R	22133830	22133831	FBtr0305036	FBgn0051163
64	tna	5.48950417283922	3L	10835528	10835529	FBtr0475045	FBgn0026160
65	CG31275	5.46972915673008	3R	16751333	16751334	FBtr0083346	FBgn0063261
66	CG10939	5.34327081755425	2R	17394593	17394594	FBtr0086909	FBgn0010620
67	CG42831	5.32731250052651	3L	10814819	10814820	FBtr0303850	FBgn0262020
68	Cyp6v1	5.31216663991412	X	20657122	20657123	FBtr0077276	FBgn0031126
69	vnd	5.30094408343236	X	582121	582122	FBtr0110929	FBgn0261930
70	gsb	5.2253135067858	2R	25061964	25061965	FBtr0072444	FBgn0001148
71	CG15283	5.16986761276763	2L	14450921	14450922	FBtr0300837	FBgn0028844
72	lov	5.14436058328102	2R	25098285	25098286	FBtr0072458	FBgn0266129
73	PsGEF	5.13009637740233	X	2387663	2387664	FBtr0333532	FBgn0264598
74	CG1239	5.11900001205504	3R	5733513	5733514	FBtr0078720	FBgn0037368
75	Dl	5.07102698124945	3R	19326216	19326217	FBtr0083739	FBgn0000463
76	en	5.06433531302656	2R	11527882	11527883	FBtr0088096	FBgn0000577
77	chn	5.03132358696312	2R	15115236	15115237	FBtr0087416	FBgn0015371
78	CadN	5.028095838835	2L	17752345	17752346	FBtr0081018	FBgn0015609
79	CG30430	4.98229861249112	2R	25129432	25129433	FBtr0072448	FBgn0050430
80	B-H1	4.94921780095549	X	17397478	17397479	FBtr0074430	FBgn0011758
81	CG14926	4.90790476667739	2L	11343237	11343238	FBtr0345464	FBgn0032360
82	CG10479	4.87954999962822	3L	5976006	5976007	FBtr0077070	FBgn0035656
83	CG14506	4.87886726818092	3R	29297179	29297180	FBtr0334875	FBgn0039659
84	salm	4.86908334928254	2L	11445613	11445614	FBtr0089913	FBgn0261648
85	Cpr35B	4.84763198154461	2L	14425188	14425189	FBtr0080633	FBgn0028871
86	CG9483	4.84443753461043	2L	8866767	8866768	FBtr0079738	FBgn0032072
87	CG11404	4.83918335846781	3L	22548437	22548438	FBtr0078513	FBgn0037169
88	CG11629	4.82598125608638	2L	21898288	21898289	FBtr0085950	FBgn0032965
89	Wnt4	4.80971070191867	2L	7277170	7277171	FBtr0089291	FBgn0010453
90	fend	4.80398334314426	X	9135039	9135040	FBtr0071349	FBgn0030090
91	CG3841	4.75029789268551	2L	9589476	9589477	FBtr0303250	FBgn0032131
92	tsh	4.71832261292951	2L	21828593	21828594	FBtr0085906	FBgn0003866
93	E(spl)mgamma-HLH	4.69221260121163	3R	25999851	25999852	FBtr0084955	FBgn0002735
94	tbrd-2	4.64321874827147	2R	19259909	19259910	FBtr0086511	FBgn0034423
95	caup	4.61792916953952	3L	12609631	12609632	FBtr0075909	FBgn0015919
96	CG12496	4.61606924505461	X	2410900	2410901	FBtr0070462	FBgn0040385
97	ssp3	4.60431248120343	2L	18943959	18943960	FBtr0081193	FBgn0032723
98	erm	4.55908215366792	2L	1954552	1954553	FBtr0077870	FBgn0031375
99	Oli	4.55200004205108	2L	17589184	17589185	FBtr0344781	FBgn0032651
100	CG42758	4.54650832492237	3L	14567440	14567441	FBtr0303303	FBgn0261816
101	opa	4.54480832709814	3R	4852813	4852814	FBtr0078836	FBgn0003002
102	CG15040	4.54440177839604	X	18617588	18617589	FBtr0074618	FBgn0030940
103	CG14662	4.52929165276388	3R	4984231	4984232	FBtr0078846	FBgn0037291
104	CG6739	4.50891667728623	2L	7608389	7608390	FBtr0079472	FBgn0031926
105	Tom	4.50883334825436	3L	14969344	14969345	FBtr0075620	FBgn0026320
106	seq; Kdm4B; CG17724	4.50334722850886					
107	CG11550	4.50264387072012	3R	31679879	31679880	FBtr0085867	FBgn0039864
108	CG13898	4.49299408251508	3L	804050	804051	FBtr0072599	FBgn0035161
109	H15	4.48789928739684	2L	5404280	5404281	FBtr0079076	FBgn0016660
110	CG6168	4.39222856267394	3L	11321718	11321719	FBtr0076182	FBgn0036154
111	CG12507	4.34406249132007	X	16266536	16266537	FBtr0290087	FBgn0030729
112	Tet	4.33548333949099	3L	2821102	2821103	FBtr0309120	FBgn0263392
113	CG15599	4.33402084694022	X	15688856	15688857	FBtr0347265	FBgn0030667
114	snky	4.33386249064157	3L	13174478	13174479	FBtr0334063	FBgn0086916
115	Bx	4.32652500284215	X	18515428	18515429	FBtr0340363	FBgn0265598
116	sli	4.29584821466623	2R	15890916	15890917	FBtr0330733	FBgn0264089
117	Eip75B	4.28199283649945	3L	17961813	17961814	FBtr0075151	FBgn0000568
118	disco-r	4.25891666583225	X	16124331	16124332	FBtr0310303	FBgn0285879
119	uzip	4.23104166612029	2R	25012062	25012063	FBtr0072397	FBgn0004055
120	ct	4.22685058722716	X	7608428	7608429	FBtr0331733	FBgn0004198
121	sba	4.21362501708791	3R	23922972	23922973	FBtr0112889	FBgn0016754
122	Traf4	4.20563126645672	2L	4361925	4361926	FBtr0334401	FBgn0026319
123	noc	4.16254167134563	2L	14490859	14490860	FBtr0080643	FBgn0005771
124	nkd	4.16057916782835	3L	19045448	19045449	FBtr0075039	FBgn0002945
125	CG3473	4.15575141040608	2L	14563725	14563726	FBtr0080661	FBgn0028913
126	Tis11	4.09976666888854	X	12659415	12659416	FBtr0073683	FBgn0011837
127	Toll-6	4.09225000270332	3L	15336692	15336693	FBtr0075614	FBgn0036494
128	svp	4.09066666197032	3R	12258737	12258738	FBtr0082562	FBgn0003651
129	CG33648	4.08427916625515	2L	14524312	14524313	FBtr0343695	FBgn0053648
130	Nrt	4.08245416187371	3L	16766072	16766073	FBtr0075322	FBgn0004108
131	Uba1	4.02656251067917	2R	9693327	9693328	FBtr0088499	FBgn0023143
132	CecC	4.00927084994813	3R	30216484	30216485	FBtr0085616	FBgn0000279
133	CG13891	4.00432499342908	3L	433905	433906	FBtr0072566	FBgn0035139
134	CG17198	3.97229168005288	3R	25774398	25774399	FBtr0084924	FBgn0039366
135	disco	3.96737916873147	X	16216745	16216746	FBtr0100384	FBgn0000459
136	Sr-CI	3.95643355119475	2L	4121702	4121703	FBtr0077467	FBgn0014033
137	Indy	3.93821667596543	3L	18840515	18840516	FBtr0075083	FBgn0036816
138	CG17344; CG43731	3.91730556761225					
139	slp2	3.88654643304291	2L	3836840	3836841	FBtr0077500	FBgn0004567
140	heph	3.87141666126748	3R	31935169	31935170	FBtr0085880	FBgn0011224
141	rib	3.85402498771825	2R	19270078	19270079	FBtr0330057	FBgn0003254
142	Argk	3.81944818016851	3L	9050355	9050356	FBtr0345030	FBgn0000116
143	eya	3.81925593097399	2L	6530508	6530509	FBtr0306113	FBgn0000320
144	tow	3.8171666758135	3L	6942856	6942857	FBtr0333077	FBgn0035719
145	sdk	3.79634581667779	X	686834	686835	FBtr0070132	FBgn0021764
146	tll	3.79412084041784	3R	30852315	30852316	FBtr0085709	FBgn0003720
147	CG31010	3.78616666824867	3R	30706120	30706121	FBtr0085725	FBgn0051010
148	run	3.78018079213637	X	20690670	20690671	FBtr0345922	FBgn0003300
149	can	3.7740833227434	3L	10267110	10267111	FBtr0076299	FBgn0011569
150	CG12708	3.76013341049353	X	15675476	15675477	FBtr0074052	FBgn0030666
151	dpn	3.75919820645026	2R	8232329	8232330	FBtr0088803	FBgn0010109
152	danr	3.74412501044571	3R	25138072	25138073	FBtr0084780	FBgn0039283
153	robo2	3.73925000739594	2L	1420452	1420453	FBtr0077941	FBgn0002543
154	apt	3.73370002607505	2R	23564891	23564892	FBtr0072066	FBgn0015903
155	Diap1	3.73360358416325	3L	16040534	16040535	FBtr0333617	FBgn0260635
156	klg	3.72849998933574	3R	22899284	22899285	FBtr0084337	FBgn0017590
157	CG15429	3.673937484622	2L	4352975	4352976	FBtr0077428	FBgn0031596
158	CG7320	3.65677512754973	3L	18201494	18201495	FBtr0310156	FBgn0036782
159	CG3650	3.64162082175414	2R	24848994	24848995	FBtr0072380	FBgn0035070
160	sty	3.62816112190485	3L	3417960	3417961	FBtr0073146	FBgn0014388
161	CG6481	3.61740000396967	X	18522444	18522445	FBtr0074620	FBgn0030936
162	Dr	3.55895831047868	3R	29556386	29556387	FBtr0085441	FBgn0000492
163	RpL13	3.54202083249887	2L	9967313	9967314	FBtr0079888	FBgn0011272
164	unc-4	3.53937500203028	X	17768569	17768570	FBtr0340627	FBgn0024184
165	CG14282	3.53699164266388	3R	19177000	19177001	FBtr0083734	FBgn0038685
166	shg	3.5246291572849	2R	21057196	21057197	FBtr0071546	FBgn0003391
167	CG12688	3.51827917220459	X	4380758	4380759	FBtr0308918	FBgn0029707
168	Abd-B	3.51147916571548	3R	16934241	16934242	FBtr0083384	FBgn0000015
169	CG43335	3.50972917489707	3R	15635468	15635469	FBtr0306929	FBgn0263040
170	Ten-m	3.45651460715259	3L	22407862	22407863	FBtr0078509	FBgn0004449
171	E5	3.44052222248995	3R	13874915	13874916	FBtr0082880	FBgn0008646
172	Drl-2	3.4304458429416	2R	13079538	13079539	FBtr0087794	FBgn0033791
173	CG12684	3.42922956088173	X	4571928	4571929	FBtr0070697	FBgn0029717
174	CG43402	3.41143751020233	2L	1442627	1442628	FBtr0343842	FBgn0263321
175	bib	3.41000001654029	2L	9984645	9984646	FBtr0079929	FBgn0000180
176	Reg-2	3.38377081410339	3L	606568	606569	FBtr0072561	FBgn0016715
177	klu	3.37761309670196	3L	11008832	11008833	FBtr0076247	FBgn0013469
178	CG43198	3.36808335476865	X	7453335	7453336	FBtr0306067	FBgn0262827
179	ham	3.35107820167218	2L	18771757	18771758	FBtr0332016	FBgn0045852
180	Alh	3.34752085597979	3R	7108423	7108424	FBtr0081614	FBgn0261238
181	Ama	3.34641669020057	3R	6762593	6762594	FBtr0081618	FBgn0000071
182	Lim1	3.32872915578385	X	8785352	8785353	FBtr0331732	FBgn0026411
183	mirr	3.31587916040638	3L	12693639	12693640	FBtr0075912	FBgn0014343
184	Art9	3.31250103601875	3R	13943459	13943460	FBtr0082879	FBgn0038188
185	Gale	3.29406895630047	3L	648555	648556	FBtr0072556	FBgn0035147
186	Dscam1	3.29347499788495	2R	7381868	7381869	FBtr0111089	FBgn0033159
187	pnut	3.29146667122841	2R	8237271	8237272	FBtr0088792	FBgn0013726
188	CG11356	3.27754163866242	X	12103839	12103840	FBtr0073635	FBgn0030375
189	nub	3.27045417450524	2L	12587625	12587626	FBtr0112642	FBgn0085424
190	pdm2	3.26974583026022	2L	12657165	12657166	FBtr0340540	FBgn0004394
191	CG31928	3.25066668838263	2L	1492295	1492296	FBtr0077929	FBgn0051928
192	CG8119	3.24163748613662	X	15662585	15662586	FBtr0074051	FBgn0030664
193	CG30022	3.21170158308499	2R	11388778	11388779	FBtr0289990	FBgn0050022
194	neur	3.20631668129492	3R	9033730	9033731	FBtr0082004	FBgn0002932
195	CG3942	3.17482143334512	3R	12254187	12254188	FBtr0082561	FBgn0038008
196	caps	3.12441665679216	3L	13228692	13228693	FBtr0075832	FBgn0023095
197	scrt	3.11392502039671	3L	3983896	3983897	FBtr0073165	FBgn0004880
198	mira	3.08700712113745	3R	19934997	19934998	FBtr0083847	FBgn0021776
199	ap	3.0707166457704	2R	5709291	5709292	FBtr0086059	FBgn0267978
200	CG14269	3.05727916673447	X	3435806	3435807	FBtr0070532	FBgn0029658
201	zld	3.03065714779909	X	19783142	19783143	FBtr0345014	FBgn0259789
202	rux	3.02016250068943	X	6037261	6037262	FBtr0070889	FBgn0003302
203	CG43658	3.00222498791603	X	17475472	17475473	FBtr0342803	FBgn0263706
204	pyr	3.00186905532425	2R	11712263	11712264	FBtr0113070	FBgn0033649
205	fz4	2.99720836120347	X	7110320	7110321	FBtr0071018	FBgn0027342
206	tgo	2.9801527603219	3R	9020021	9020022	FBtr0082005	FBgn0264075
207	CG43195	2.9544333289067	2R	19945000	19945001	FBtr0308771	FBgn0262824
208	CG12362	2.94684521521309	3L	10412818	10412819	FBtr0076282	FBgn0036082
209	CG6163	2.9446669649998	3L	11364884	11364885	FBtr0076181	FBgn0036155
210	CG13539	2.94275833778083	2R	23183977	23183978	FBtr0343195	FBgn0034833
211	Frl	2.93158332440847	3L	14053215	14053216	FBtr0075776	FBgn0267795
212	modSP	2.92312497727107	3R	16655661	16655662	FBtr0083353	FBgn0051217
213	fz3	2.92172083286569	X	769945	769946	FBtr0345511	FBgn0027343
214	sprt	2.92117499355227	2R	11397431	11397432	FBtr0088146	FBgn0082585
215	CG13905	2.91909165587276	3L	902898	902899	FBtr0289973	FBgn0035176
216	CG13287	2.89974998465429	3L	5882304	5882305	FBtr0077027	FBgn0035643
217	CG32986	2.89740090073485	2L	8862776	8862777	FBtr0079734	FBgn0052986
218	CG44290	2.84868749929592	3R	27440943	27440944	FBtr0339326	FBgn0265317
219	otk	2.84770000058537	2R	12019845	12019846	FBtr0088028	FBgn0004839
220	CG10750	2.83333331750085	2L	19300255	19300256	FBtr0081196	FBgn0032769
221	Slob	2.83075000867248	2L	7659566	7659567	FBtr0330697	FBgn0264087
222	sick	2.82980835278674	2L	19796365	19796366	FBtr0329838	FBgn0263873
223	Unc-76	2.82755177268603	X	2080610	2080611	FBtr0070377	FBgn0040395
224	hkb	2.8075684335615	3R	4346645	4346646	FBtr0078951	FBgn0261434
225	Fer1	2.80574998315424	3R	7136206	7136207	FBtr0081567	FBgn0037475
226	CG6244	2.80500416904494	3L	15808322	15808323	FBtr0075502	FBgn0036531
227	CG42710	2.78186249708136	2L	8782499	8782500	FBtr0302991	FBgn0261627
228	pnt	2.77363031674803	3R	23295237	23295238	FBtr0089715	FBgn0003118
229	CASK	2.7681621995178	3R	21807901	21807902	FBtr0084162	FBgn0013759
230	Mes2	2.7646111138165	3L	22945657	22945658	FBtr0078561	FBgn0037207
231	CG13251	2.7554047656574	3L	20637199	20637200	FBtr0078243	FBgn0037014
232	bi	2.75356042160032	X	4412856	4412857	FBtr0070672	FBgn0000179
233	rho	2.74336904890481	3L	1463811	1463812	FBtr0072694	FBgn0004635
234	pb	2.74336249707267	3R	6742062	6742063	FBtr0089278	FBgn0051481
235	raskol	2.74198810702988	X	17710144	17710145	FBtr0302837	FBgn0261570
236	CheA75a	2.70568749861074	3L	18252088	18252089	FBtr0075129	FBgn0036783
237	unpg	2.69519582300757	2R	9195205	9195206	FBtr0088586	FBgn0015561
238	CG1789	2.69043752364814	X	8720520	8720521	FBtr0071251	FBgn0030063
239	CG43915	2.65577083763977	3L	3972899	3972900	FBtr0333135	FBgn0264516
240	CG15047	2.65042500346899	X	18528683	18528684	FBtr0074596	FBgn0030938
241	CG17224	2.63826248236001	2L	3018092	3018093	FBtr0331629	FBgn0031489
242	Diedel3	2.63462498799587	X	19050442	19050443	FBtr0112531	FBgn0085358
243	CG45413	2.62725832077364	3L	6931949	6931950	FBtr0345862	FBgn0266962
244	cdi	2.62200001130501	3R	19094269	19094270	FBtr0083716	FBgn0004876
245	gsb-n	2.61501525988181	2R	25052330	25052331	FBtr0072461	FBgn0001147
246	CG8611	2.61286667821308	X	17422144	17422145	FBtr0074439	FBgn0027602
247	mrj	2.6077604201578	2R	16206237	16206238	FBtr0087196	FBgn0034091
248	CG14891	2.58755059232048	3R	16571515	16571516	FBtr0083301	FBgn0038445
249	Or67c	2.58599999935056	3L	10244705	10244706	FBtr0076300	FBgn0036078
250	ase	2.58058332812248	X	460747	460748	FBtr0070075	FBgn0000137
251	CG44439	2.56826786483621	2R	8249594	8249595	FBtr0340498	FBgn0265632
252	hydra	2.56791666708887	X	20672970	20672971	FBtr0077295	FBgn0031128
253	Gug	2.55750000476837	3L	8449922	8449923	FBtr0076619	FBgn0010825
254	RapGAP1	2.55203750412911	2L	7530573	7530574	FBtr0334847	FBgn0264895
255	CG43448	2.54660418257117	3R	30237733	30237734	FBtr0309181	FBgn0263402
256	smal	2.54166369834482	2L	6179133	6179134	FBtr0112617	FBgn0085409
257	CG13366	2.54118752906409	X	617581	617582	FBtr0110791	FBgn0025633
258	CG7882	2.52476251063248	2R	5957621	5957622	FBtr0335266	FBgn0033047
259	CG2841	2.51735891728257	X	2349874	2349875	FBtr0070404	FBgn0003159
260	Akap200	2.50838749253502	2L	8415690	8415691	FBtr0079667	FBgn0027932
261	ems	2.50818750189824	3R	13901853	13901854	FBtr0082863	FBgn0000576
262	Prx3	2.49242855847946	3R	17546530	17546531	FBtr0083503	FBgn0038519
263	CG13405	2.47281248448417	3L	75269	75270	FBtr0072541	FBgn0035097
264	Sodh-1	2.47202378937176	3R	7052335	7052336	FBtr0081627	FBgn0024289
265	rin	2.46304524995032	3R	13647004	13647005	FBtr0082799	FBgn0015778
266	CG3556	2.45470416991092	X	4530231	4530232	FBtr0070674	FBgn0029708
267	Hmx	2.45354166308728	3R	17558930	17558931	FBtr0330386	FBgn0264005
268	AOX4	2.45303333975899	3R	15552832	15552833	FBtr0083150	FBgn0038350
269	Tim17b2	2.4386369190844	2L	15484729	15484730	FBtr0089699	FBgn0020371
270	CG12689	2.43562290770933	X	7586130	7586131	FBtr0071081	FBgn0029952
271	CG43245	2.43408334311098	3L	10771925	10771926	FBtr0306304	FBgn0262890
272	Obp56h	2.4337142854042	2R	19815554	19815555	FBtr0086335	FBgn0034475
273	CG13305	2.42596428202731	3L	8646821	8646822	FBtr0273349	FBgn0035921
274	CG14050	2.42125000990927	X	2325783	2325784	FBtr0070407	FBgn0040392
275	skl	2.41645835681508	3L	18439941	18439942	FBtr0075119	FBgn0036786
276	CG13334	2.40333056517152	2R	13558545	13558546	FBtr0087677	FBgn0033856
277	LS2	2.40126249328411	2R	23211538	23211539	FBtr0072052	FBgn0034834
278	CG1835	2.39221214010578	X	20661917	20661918	FBtr0345921	FBgn0031127
279	CG9005	2.38841667274634	2R	11632514	11632515	FBtr0088089	FBgn0033638
280	CG46458; Antp	2.38793751892323					
281	CG45546	2.38722499360738	3R	29369338	29369339	FBtr0346200	FBgn0267106
282	Raf	2.37810834205399	X	2295466	2295467	FBtr0344007	FBgn0003079
283	eIF4H2	2.37604163835446	3R	30726087	30726088	FBtr0085699	FBgn0039797
284	CG4382	2.37172619281669	2L	9600871	9600872	FBtr0114535	FBgn0032132
285	cno	2.37121665899952	3R	5198297	5198298	FBtr0334910	FBgn0259212
286	CG17999	2.36537502167436	2R	20849938	20849939	FBtr0071561	FBgn0034552
287	CG45603	2.34658333100379	X	12274635	12274636	FBtr0346284	FBgn0267163
288	hb	2.34551745823451	3R	8694599	8694600	FBtr0081951	FBgn0001180
289	CG43689	2.33639583224431	X	4075743	4075744	FBtr0473379	FBgn0263772
290	KP78b; KP78a	2.33636458031833					
291	jigr1	2.33447501547635	3R	25637843	25637844	FBtr0084886	FBgn0039350
292	CG18265	2.33131249124805	3L	17439401	17439402	FBtr0075219	FBgn0036725
293	Obp99d	2.29777500703931	3R	29714505	29714506	FBtr0085455	FBgn0039684
294	lsn	2.2950333421429	3R	21865168	21865169	FBtr0084135	FBgn0260940
295	CG11811	2.29393750056624	3L	10691024	10691025	FBtr0076265	FBgn0036099
296	CG16791	2.2929250048163	3R	21349600	21349601	FBtr0084095	FBgn0038881
297	repo	2.28926041256636	3R	18236192	18236193	FBtr0083564	FBgn0011701
298	CG7968	2.28754167382916	2L	13849400	13849401	FBtr0080551	FBgn0028532
299	bun	2.28504999857396	2L	12461255	12461256	FBtr0299657	FBgn0259176
300	CG17300	2.27492858267256	3L	13087288	13087289	FBtr0075892	FBgn0036345
301	CG42852	2.26876666831474	3L	16755489	16755490	FBtr0304017	FBgn0262099
302	CG7329	2.26204165202216	2L	10631190	10631191	FBtr0080131	FBgn0032271
303	wor	2.25921824160549	2L	15425579	15425580	FBtr0080740	FBgn0001983
304	CG13896	2.25545347173595	3L	711818	711819	FBtr0072602	FBgn0035159
305	slou	2.24774998550614	3R	21557181	21557182	FBtr0084123	FBgn0002941
306	CG41434	2.2415874862733	2L	22037860	22037861	FBtr0332200	FBgn0084001
307	CG15549	2.23624999945362	3R	30936506	30936507	FBtr0085752	FBgn0039810
308	VAChT; ChAT	2.23445834964514					
309	Syp	2.23190896984858	3R	20756729	20756730	FBtr0083958	FBgn0038826
310	Wnt10	2.22584317864455	2L	7363379	7363380	FBtr0303207	FBgn0031903
311	nvy	2.22525000547466	2R	24275734	24275735	FBtr0072267	FBgn0005636
312	InR	2.22462947533599	3R	21590190	21590191	FBtr0290232	FBgn0283499
313	gcm	2.21036666234334	2L	9581744	9581745	FBtr0079855	FBgn0014179
314	CAH15	2.1994722303417	2R	20909704	20909705	FBtr0071517	FBgn0034560
315	CheA84a	2.1960208453238	3R	8204829	8204830	FBtr0091780	FBgn0261290
316	Rich	2.1952750085853	3L	22262920	22262921	FBtr0078512	FBgn0028500
317	CG34171	2.18606666872899	2L	18378591	18378592	FBtr0305066	FBgn0085200
318	CG34429	2.18232202301955	3L	13063046	13063047	FBtr0112730	FBgn0085458
319	CG33262	2.17497917202612	3L	13136269	13136270	FBtr0302393	FBgn0053262
320	brat	2.15558751001954	2L	19133816	19133817	FBtr0081158	FBgn0010300
321	Rfx	2.15314582967161	3R	10367478	10367479	FBtr0337104	FBgn0020379
322	fkh	2.15069760972013	3R	28585111	28585112	FBtr0085321	FBgn0000659
323	gukh	2.14124998450279	3R	18984025	18984026	FBtr0089768	FBgn0026239
324	aos	2.14043931907841	3L	16483649	16483650	FBtr0075408	FBgn0004569
325	CG6465	2.12729167193174	3R	10677250	10677251	FBtr0082323	FBgn0037818
326	Ids	2.12329166956867	3L	3378268	3378269	FBtr0073077	FBgn0035445
327	wge	2.11664998829365	3R	22721149	22721150	FBtr0110835	FBgn0051151
328	mld	2.10591666934391	3R	24585653	24585654	FBtr0111012	FBgn0263490
329	Dbx	2.10250953128118	3L	1921307	1921308	FBtr0290136	FBgn0261723
330	ras	2.09475832333167	X	10744502	10744503	FBtr0071495	FBgn0003204
331	otp	2.08974998816848	2R	20897583	20897584	FBtr0110772	FBgn0015524
332	B-H2	2.08922817322633	X	17314581	17314582	FBtr0074429	FBgn0004854
333	tara	2.0882750033401	3R	16225651	16225652	FBtr0083257	FBgn0040071
334	eg	2.08780110822001	3L	21808703	21808704	FBtr0078437	FBgn0000560
335	CG34355	2.0841458303233	3R	23803859	23803860	FBtr0345324	FBgn0085384
336	Lac	2.07941664954027	2R	12453190	12453191	FBtr0087933	FBgn0010238
337	CG2765	2.06874167618031	2R	24962589	24962590	FBtr0113118	FBgn0035087
338	shot	2.06249881115343	2R	13897700	13897701	FBtr0304851	FBgn0013733
339	dve	2.06124167467157	2R	22243963	22243964	FBtr0071775	FBgn0020307
340	CG1090	2.05771667870382	3R	4359883	4359884	FBtr0332449	FBgn0037238
341	Ptx1	2.05525000113994	3R	30912754	30912755	FBtr0089391	FBgn0020912
