gene_symbol,start,end,width,width.1,Conc,Conc_Cph_NanoDam,Conc_control,Fold,p.value,FDR,geneChr,geneStart,geneEnd,geneLength,geneStrand,distanceToTSS,significance_score,rank
CG31677,20603275,20603674,400,401,8.6760883134442,9.52578905228612,6.33873449426732,3.0330099582761,2.1682983503510399e-16,2.06590648380668e-13,1,20603535,20604196,662,2,522,12.684889341328464,22
CG9674,16806423,16806822,400,401,10.7380599764865,11.5649119464336,8.59366322674909,2.88417149480179,2.43069788572546e-25,1.56324257775718e-21,3,16787573,16807731,20159,2,909,20.805973624663448,23
CG32767,5082286,5082685,400,401,8.8352109536244,9.67610016464958,6.57572384414641,2.86322081291861,2.9394590286019095e-11,9.57184601402332e-09,6,5071027,5083025,11999,2,340,8.019004296665148,24
Akap200,8423474,8423873,400,401,10.5443121371036,11.3752947472965,8.36710561350416,2.86249745289005,2.42670602208946e-16,2.22953615779469e-13,1,8426773,8430977,4205,1,-2900,12.651785480029611,25
CG17472,20633884,20634283,400,401,8.50585857357962,9.34053036133881,6.29862226597184,2.85265144574767,2.87851518620116e-13,1.64555118144499e-10,1,20634515,20635167,653,1,-232,9.783688605333476,26
tRNA:Glu-TTC-1-1,32435619,32436417,800,802,22.443713200461097,23.6623175574425,20.245373727504678,2.803911157896655,4.7053972041999624e-05,0.0028958852167159338,4,32438748,32438890,144,4,2473,9.822175809427442,27
lncRNA:CR44964,6748635,6749034,400,401,7.84987284277496,8.67856092818738,5.69099540800861,2.74006742210206,1.21942790552913e-10,3.52469470446483e-08,6,6746399,6748020,1622,2,-615,7.452878493965702,28
CG17202,12423139,12423538,400,401,11.1445508845331,11.9621817939405,9.07049351669835,2.73623629006198,7.29223830141809e-15,5.51743618541119e-12,4,12422768,12423606,839,1,371,11.258262681181089,29
CG7720,18779292,18779691,400,401,8.79101688425252,9.60604601404265,6.73612308000272,2.73353717833577,2.16593043137162e-16,2.06590648380668e-13,4,18759236,18779575,20340,2,0,12.684889341328464,30
CG31729,26586638,26587436,800,802,20.69259290432579,21.7912853694226,18.664232308466218,2.6950989308233257,0.0010695212496927664,0.02842301305336244,2,26587258,26603184,15928,2,-133,8.857815392109941,31
C3G,13590339,13591137,800,802,22.4303157279431,23.6503739087336,20.23641523569287,2.6922245524231467,0.00043454793848879533,0.015068706679028945,12,13562832,13590966,28136,4,228,10.398816507195958,32
CG31678,41338208,41339006,800,802,19.78611102499771,20.961705407363198,17.68313829879412,2.655112666423732,0.00026705729169095575,0.010704769866087096,2,41318264,41336192,17930,4,-2115,8.404892200413668,33
P5CS,43943875,43944673,800,802,22.1727573001947,23.2966529634653,20.111371501021182,2.65287298607686,0.00029797575490090087,0.011495529490641854,6,43944004,43967394,23392,2,270,7.335090551575323,34
form3,14193578,14194376,800,802,17.701512360118983,18.833107637073,15.63749578097682,2.650747207239991,0.001033047575778943,0.02782769033579344,6,14189636,14246594,56960,2,3942,8.006828207339566,35
Nadk1a,27089054,27089852,800,802,22.5797263738011,23.782626855821,20.472816669812403,2.617033071862,2.920731048811522e-05,0.0019704700726221563,4,27074742,27090898,16158,4,1236,9.154683324478087,36
CG11893,25289760,25290159,400,401,11.4191617433401,12.2196250886921,9.46650245582986,2.61234455195185,2.2704031102577e-15,1.88406838746385e-12,4,25289889,25291366,1478,1,0,11.724903337339772,37
tRNA:Gly-TCC-1-2,7130797,7131196,400,401,8.28169388935995,9.08498370164586,6.30983338447284,2.57976430326999,7.386393916331029e-12,2.8798493689937104e-09,4,7130947,7131018,72,2,0,8.540630227492734,38
lncRNA:CR44485,3288353,3288752,400,401,9.1554053264754,9.94637486905544,7.26517050361478,2.56159434190435,4.52213283816138e-17,5.0579072722478904e-14,1,3287822,3288591,770,1,531,13.296029136937088,39
Cdk8,9845181,9845580,400,401,9.98855091924572,10.7893937435692,8.03333067209999,2.54787646525138,2.6555953375362e-11,8.8721026049505e-09,3,9837080,9838670,1591,2,-6511,8.051973444259016,40
wls,11168680,11169079,400,401,9.17311049212075,9.96113485977817,7.30162413929085,2.53636313259431,1.50148394946686e-16,1.54502698400139e-13,3,11166620,11169625,3006,2,546,12.811063931190237,41
CG7888,11054783,11055182,400,401,8.95023021152165,9.7450528963536,7.0350339437702,2.53410376862245,1.3612671209724799e-12,7.00371933740342e-10,3,11055541,11059659,4119,1,-359,9.154671265880884,42
whe,21402474,21402873,400,401,9.21793405912647,10.0175464134592,7.27099887596294,2.51886855178543,1.45694620754763e-10,4.05887897931307e-08,6,21402339,21402772,434,2,0,7.39159389753713,43
cato,32555877,32556675,800,802,17.777248086422652,18.88795116794751,15.812729974717001,2.490414287041785,0.0019483848972537952,0.04251275344335122,4,32555370,32556792,1424,4,516,7.8723777914722,44
CG17574,12851724,12852123,400,401,10.2391074308722,11.0150448488857,8.44173307197089,2.47025666129941,1.1882913900098e-18,1.7981644710589503e-15,2,12849358,12851582,2225,2,-142,14.745170587571325,45
CG43658,52528128,52529325,1200,1203,34.2509948431849,35.6420209890947,32.1669624346275,2.4251170436140628,0.004185917993810327,0.08943005148539705,18,52369671,52527858,158190,6,-346,6.805686979419207,46
CG2224,30457685,30458084,400,401,10.0348458101557,10.8163179501877,8.20408357028775,2.41699146221,2.3043330809878797e-11,7.7998642774228e-09,4,30456441,30459300,2860,2,1216,8.107912954242746,47
CG44271,6748875,6749274,400,401,8.34840703871186,9.1367374258037,6.47498569562488,2.37852609962396,4.903350799492091e-09,9.6437423275415e-07,1,6747421,6747914,494,2,-961,6.015754402112695,48
chas,35376911,35377709,800,802,18.86793836809333,20.11775655217716,16.477165180695458,2.369032827369558,0.0005940981653984088,0.0202008051593499,12,35344916,35377309,32395,4,-1,4.433739004872159,49
Ilp6,4669899,4670697,800,802,22.2247900025555,23.3604456018276,20.32413747834023,2.3028693215638096,5.7735532091205354e-05,0.0033503446246048864,12,4662986,4667568,4584,4,-2331,7.572398269201106,50
snoRNA:CD50,5437883,5438282,400,401,9.43363542880002,10.1914778259555,7.73950165939249,2.28661891723575,3.16536848446862e-12,1.4745601951635901e-09,1,5437634,5437749,116,2,-134,8.831337493784426,51
Blimp-1,5632539,5632938,400,401,8.61688645041819,9.37049425138517,6.94570538502377,2.27084411368643,9.12043128099588e-13,5.10050205877433e-10,3,5630983,5652094,21112,1,1556,9.292387072799382,52
Pepck2,37067050,37067848,800,802,23.1515693338223,24.2543625028027,21.302872083129017,2.268090475137239,0.0012260447050406894,0.0308915828297863,4,37064780,37069246,4468,2,2270,7.979604249925462,53
lncRNA:CR43491,17379095,17379494,400,401,11.1460189222256,11.8885609545083,9.53284625604045,2.23457296007007,6.067263411819841e-15,4.7297076142141e-12,6,17378376,17379004,629,2,-91,11.325165706082116,54
CG4476,9211264,9211663,400,401,10.1870167491312,10.9208542075548,8.61759398972849,2.213161801876,1.3469659651979799e-18,1.92503885859545e-15,3,9211880,9215256,3377,1,-217,14.715560499452494,55
lncRNA:CR46062,26241813,26242212,400,401,6.68484997946875,7.53890315681315,4.30724003259531,2.17820637326067,2.14403885751877e-05,0.0015536732284414,4,26241291,26241802,512,1,522,2.808640317586343,56
fray,18578640,18579039,400,401,12.4715008957791,13.2081100995807,10.8883190274837,2.16737078749625,1.6073862985325698e-12,8.10784559406872e-10,4,18581216,18589453,8238,1,-2177,9.091094530610805,57
dcma,4694869,4695268,400,401,8.87935162952513,9.62407471953012,7.25496334315476,2.15953260172239,2.97704487137737e-10,7.50828228590027e-08,1,4694721,4722465,27745,1,148,7.124459407746989,58
disco,16216739,16217138,400,401,12.0132778456266,12.7488297571925,10.4353630534602,2.14870623630726,7.38853482424042e-12,2.8798493689937104e-09,6,16210598,16216750,6153,2,0,8.540630227492734,59
CG16826,26698954,26699752,800,802,21.459585959091598,22.5294588025471,19.703639142383878,2.1436074360543698,0.00016274714087429346,0.0074639458641144255,2,26695546,26698040,2496,2,3408,6.176233843189104,60
Cph,14431242,14432040,800,802,24.6552641908103,25.8420975459908,22.5777268529459,2.136642919822528,0.0001535907067053304,0.0082800251337127,12,14422484,14483470,60988,2,8758,4.802254554653993,61
sgg,5335699,5336497,800,802,23.379104065328498,24.342470973772002,21.812378650917402,2.123283247420645,0.0014052211393845587,0.03380453765557429,12,5335620,5355692,20074,2,478,8.10979290296823,62
pio,49174333,49175131,800,802,16.905434469324298,18.04233023609286,14.9743612542309,2.094694624594141,0.00040151869661484807,0.014863297375455801,4,49175414,49195724,20312,2,-682,4.834215443088158,63
Jhbp11,27102379,27102778,400,401,9.75115025798187,10.4767435455459,8.22174227295264,2.09043822541243,9.80673938683478e-12,3.6370558157135503e-09,4,27101394,27102917,1524,1,985,8.439250034037288,64
CG9631,14226773,14227172,400,401,9.20175166503111,9.94556868203009,7.5820353161414,2.08510143085297,1.03790326789943e-08,1.89362138771012e-06,4,14225098,14226762,1665,2,-11,5.722706849865608,65
Nipsnap,32143840,32144638,800,802,20.7842069450532,21.849920705886497,19.07441120672194,2.075508956267983,0.00012972621973396194,0.006158923489127537,12,32140730,32146564,5836,4,1926,6.694293922519981,66
CG7044,21101211,21101610,400,401,10.073818280035,10.8116069705459,8.48473323884084,1.99584894843474,6.28018446120146e-08,1.00346425630067e-05,4,21098229,21101718,3490,2,108,4.998498092601359,67
lncRNA:CR46006,20693627,20694425,800,802,20.13183694868945,21.1211630493448,18.56768489780723,1.995084451492467,0.001191051969838442,0.030400799939519486,6,20696480,20734900,38422,2,-2055,6.828000727014876,68
CG42675,5812413,5812812,400,401,8.54252709016293,9.29355894101019,6.88509949278651,1.98903527415453,4.17967514117803e-07,5.37610715034024e-05,4,5813609,5818820,5212,1,-797,4.269532084013428,69
lncRNA:CR44583,11315714,11316113,400,401,5.56624898307199,6.42950928846017,3.09915674792968,1.95775468845913,5.90746394878901e-05,0.0034125488619299,1,11318944,11319259,316,1,-2831,2.466921121543976,70
CG31915,5529104,5529503,400,401,10.9194736686391,11.6124453222505,9.53635837990996,1.9483105001625,1.41527043675989e-13,8.66853142515433e-11,1,5528123,5530682,2560,1,981,10.062054472071017,71
Wdr20,53446382,53447180,800,802,21.6633419693159,22.727683170968,19.94479146166439,1.928568436447023,0.0012459679485772865,0.0313557853081869,8,53439694,53450432,10740,4,3252,5.14825606878858,72
osi,33773916,33774714,800,802,24.896729444772397,25.9317402997735,23.2530298076207,1.925007110465627,0.0013138915078609302,0.03238759257650392,2,33774218,33775932,1716,4,1218,5.762808213336143,73
IP3K2,26623345,26624143,800,802,22.3456605639252,23.3678041835242,20.74619747604462,1.873815922548409,0.00039155274017893516,0.0142011396404198,12,26620537,26658606,38071,2,2808,5.245396195505816,74
veil,17478684,17479083,400,401,10.6809327895318,11.3646329499071,9.33626949963829,1.86515456027036,1.42180165840648e-11,5.079978842014831e-09,2,17479147,17482118,2972,1,-64,8.294138096538,75
r,16656131,16656530,400,401,11.4836205232982,12.1631713535517,10.1557615204108,1.84871621799066,8.95563933273767e-12,3.4385645049951704e-09,6,16656091,16668712,12622,1,40,8.46362282419365,76
CG11029,5743806,5744205,400,401,10.3035702286625,10.9800447140829,8.98801418369831,1.84383400622239,2.7502036147753297e-12,1.3348865658508601e-09,1,5746157,5747961,1805,1,-1952,8.87455563760885,77
tup,18883815,18884214,400,401,8.02354583432357,8.78664017022454,6.30033179543112,1.79670338521902,1.01246666156212e-05,0.0008242311667305,1,18860488,18881261,20774,2,-2554,3.083950967482916,78
Trpm,15291532,15291931,400,401,10.0430211165654,10.7552227808103,8.57587710055798,1.78602824398246,3.73013074695102e-07,4.92090325463154e-05,2,15266381,15291302,24922,2,-230,4.30795517314773,79
ima,7655104,7655503,400,401,9.63051640126604,10.3224514559234,8.25176388303146,1.74774296306126,7.54906078733025e-08,1.16987704068717e-05,2,7651625,7655302,3678,2,0,4.93185978214895,80
Lpin,8143945,8144344,400,401,9.89773560502666,10.5523762440839,8.66590288340675,1.7438088617514,1.1174460909529599e-12,6.11623418931167e-10,2,8137988,8142455,4468,2,-1490,9.213515893897622,81
wbl,19249538,19249937,400,401,10.6352597362368,11.3674519451428,9.07393009477206,1.7349182242651,4.1164746275217e-06,0.0003768551949928,2,19249761,19250917,1157,1,0,3.4238254935508596,82
Nhe2,21108476,21108875,400,401,10.9802448843867,11.6802794229288,9.56696184960221,1.73221914822175,3.24016188266336e-07,4.34131064747474e-05,1,21107781,21134255,26475,1,695,4.362379136608415,83
peb,4616474,4616873,400,401,10.4662220837795,11.1294955188442,9.20201507134767,1.71220685120293,8.361904469177061e-10,1.95554538608709e-07,6,4617564,4626104,8541,1,-691,6.708732100091067,84
lncRNA:CR45158,11632805,11633204,400,401,9.8685245349091,10.5433631947006,8.5594574441023,1.69666828897459,2.58626050057778e-08,4.49537509306509e-06,3,11632705,11633303,599,2,99,5.347234064987043,85
Pvr,16464977,16465775,800,802,20.68073852616773,21.7681997822306,18.90663059628159,1.6956461440208281,0.0014099529355289,0.037876801406973706,2,16442254,16469835,27583,4,4060,3.722621470197927,86
crn,2249516,2249915,400,401,9.93134880927026,10.5793263276325,8.72388783995893,1.68253947379746,3.0255329079616695e-11,9.728979257164241e-09,6,2247594,2249983,2390,2,68,8.011932722551316,87
lncRNA:CR46351,12645037,12645436,400,401,10.7352186688904,11.3820158515913,9.53202083078605,1.67795770590266,2.7816947370719696e-11,9.1742432193816e-09,4,12645719,12646077,359,2,641,8.037429750422138,88
lncRNA:CR44518,5499570,5499969,400,401,8.11475398699052,8.81021314366113,6.72110241517685,1.67621496156784,6.74114930718232e-07,7.99152377545001e-05,3,5499594,5500088,495,1,0,4.0973704041434935,89
br,3246897,3247695,800,802,25.496652901416503,26.4813165784354,23.9532112347661,1.674549664283008,0.0005541646864728,0.0219918450250889,12,3245464,3290324,44862,2,1680,3.920611085929445,90
lncRNA:CR44326,6984451,6984850,400,401,8.47954482250571,9.15076352910198,7.18470854235613,1.65562899719828,6.018377007867e-08,9.73727978159613e-06,1,6985961,6986750,790,1,-1111,5.011562351216077,91
Cyp4d20,2478399,2478798,400,401,9.59730081867617,10.2748202638841,8.27758045026693,1.6358322743738,2.52447090361079e-07,3.45436244656317e-05,3,2476259,2478448,2190,2,0,4.461632096333097,92
CG11437,22468658,22469057,400,401,9.1857434660812,9.82861347880739,7.99661495622004,1.63156884184744,2.91918169168847e-10,7.43524247709762e-08,3,22468862,22469853,992,1,0,7.1287048637596,93
CG4842,16368294,16368693,400,401,10.1831585314634,10.8365023329752,8.95611051405944,1.63036466418158,5.79706963709913e-09,1.12976982132102e-06,3,16368389,16369518,1130,1,0,5.947010030421786,94
lncRNA:CR44953,59517463,59518261,800,802,20.130588682753142,21.0309637577915,18.81267096308416,1.620412373557345,0.0003981766901007315,0.016414205470659998,8,59510380,59518080,7702,4,218,4.271038182233577,95
Ntan1,18654333,18654732,400,401,9.85392098538411,10.5321911653616,8.53119951842841,1.61528241491102,4.54325291913895e-07,5.7573980958054e-05,2,18641023,18652776,11754,2,-1557,4.2397737401759,96
dati,786346,787144,800,802,21.981046098484498,22.9723908244321,20.45705433058708,1.615208366551158,0.0011077338985066,0.0353993128741002,10,751280,789015,37737,4,2147,3.5262469592962153,97
Tom5,3471709,3472108,400,401,8.90076361562292,9.58155863459136,7.56789137311895,1.61358584607343,6.15707450666531e-07,7.43618505558521e-05,3,3471555,3472113,559,2,5,4.128649810990043,98
CG11353,4534670,4535069,400,401,13.1169264627841,13.812355591281,11.7234026495759,1.61262047123394,2.12200487570138e-06,0.000206774906922,3,4533170,4539270,6101,1,1500,3.6845021659965216,99
CG14142,11178680,11179079,400,401,9.20958897482095,9.89996125592601,7.83738303228194,1.60846225307187,1.57002933990159e-06,0.0001597725104619,3,11173514,11176892,3379,1,5166,3.7964979408022996,100
amn,19888879,19889278,400,401,12.2381255486961,12.8897939171178,11.0172293426188,1.60398888731445,1.3607249266928e-08,2.46511610839242e-06,6,19886108,19890060,3953,2,782,5.60816262038408,101
milt,14079956,14080754,800,802,22.912700683441,23.77084560753,21.6729298469115,1.594931855998185,0.0008189111335657837,0.0243256502984153,2,14080182,14112020,31840,2,173,4.653638478298514,102
blot,34833412,34834210,800,802,19.92668364848808,20.8406588874595,18.56571050569465,1.591606307346901,0.0007712196477502,0.026613729200947997,6,34792062,34837325,45265,4,3115,3.8390397986178537,103
mir-929,4297453,4297852,400,401,8.31206313807586,8.99039653536011,6.9890886002829,1.57838676570994,1.0203295094851e-06,0.0001102856160987,4,4295369,4295456,88,1,2084,3.9574811263296636,104
grnd,36977969,36978767,800,802,18.9971032029907,19.90198093922221,17.671018757374192,1.570874644443548,0.0006608590473754,0.0246755189289179,2,36970834,36976042,5210,2,7135,3.8372098021945336,105
Moe,17757857,17758655,800,802,22.21475261284195,23.1005604150289,20.92682089074878,1.558714853573497,0.0014049016169401754,0.0356558916862791,12,17747246,17757653,10409,4,-603,4.074550735560097,106
Msp300,5144473,5144872,400,401,10.2116590384394,10.8573554428417,9.0124225374405,1.55808606125816,3.0934383446233e-08,5.27011267651884e-06,1,5146386,5158263,11878,1,-1514,5.278180099347748,107
lncRNA:CR44306,24031932,24032730,800,802,21.9418515680197,22.8263300551729,20.659804900081767,1.54707875245285,0.0011079247170537219,0.031446175280168104,4,24030190,24031790,1602,2,1742,4.01090686711523,108
Srp9,15874580,15875378,800,802,23.076968147085502,23.995213787140102,21.721253788486102,1.53656743004073,0.0011827158484654,0.036238304615274095,6,15872746,15874516,1772,2,1834,3.569305135750285,109
CG33919,6622106,6622505,400,401,9.58901681519962,10.2198986366529,8.44177890694544,1.53548496264654,4.34993579237833e-09,8.75801619046595e-07,2,6623832,6624577,746,2,2072,6.0575942562866745,110
Paics,25517116,25517914,800,802,23.3072015159329,24.2219219111942,21.952360545273102,1.5325227382387951,0.0010820794181366001,0.033643097457955004,12,25514072,25521234,7164,4,3320,3.658437606262109,111
lncRNA:CR45234,18195240,18195639,400,401,11.581724325997,12.2448904360988,10.3179254943765,1.52991169432125,7.04640857755168e-07,8.2335962269296e-05,3,18196172,18196932,761,1,-533,4.084410434486463,112
Ppn,28540357,28540756,400,401,9.34263656809969,10.0008869200331,8.09737866144578,1.5257013888683,4.67464026469198e-07,5.89485886319614e-05,4,28520665,28540324,19660,2,-33,4.229526588477098,113
lncRNA:CR43641,13814969,13815368,400,401,12.356710756444,13.0060994101089,11.1441318634248,1.52401758615438,1.75189789978103e-07,2.54619059163091e-05,4,13815279,13815778,500,1,0,4.594109090943323,114
svp,24565741,24566539,800,802,18.87194393138624,19.81181608210915,17.42804335175848,1.518339619867769,0.0025280234480475,0.059053680792252296,8,24562304,24605570,43268,2,3437,3.2103126594957017,115
CG33337,23593599,23593998,400,401,7.81213060636449,8.48963552127483,6.49246824659514,1.51498175318458,3.02536569611433e-06,0.0002840420895348,4,23590141,23592769,2629,2,-830,3.546617301156036,116
lncRNA:CR45936,18240508,18240907,400,401,9.2724379514706,9.89798271162104,8.14335648837819,1.51025642969952,4.91090474211054e-09,9.6437423275415e-07,3,18243700,18244239,540,1,-2793,6.015754402112695,117
lncRNA:CR45297,4810488,4810887,400,401,11.3150159731965,11.9664893268508,10.0948336530089,1.50511401332312,3.88265725136704e-07,5.0701196848435e-05,1,4811711,4811945,235,2,1058,4.2949817886245345,118
RhoGAP19D,20510264,20510663,400,401,10.218584146902,10.8315773470126,9.13106825391167,1.49359143939182,4.75907082408113e-10,1.15996903565805e-07,6,20469955,20510694,40740,2,31,6.935553603723365,119
NFAT,27273735,27274533,800,802,21.98729788557932,22.9138403945177,20.609192288295638,1.4927779743238139,0.0018538557843909998,0.0503954453185369,12,27269924,27328225,58303,2,3811,3.2210791967244456,120
CG6424,35423002,35423800,800,802,20.5096638427951,21.3999016281855,19.200862680845518,1.49116674628422,0.0020324717535624,0.050616559334530006,4,35406670,35425580,18912,4,2179,3.370013265983501,121
Grip,5967892,5968291,400,401,12.6254765246292,13.2469264805485,11.5101273692433,1.47923895925627,1.0098571624477e-08,1.88250547130196e-06,6,5966463,5986699,20237,1,1429,5.7252637528947,122
CG34417,13095952,13096750,800,802,20.963033836308902,21.835180459471,19.692332135026312,1.4728745837545398,0.0015353226933033,0.0436454726970959,12,13092238,13178346,86110,2,3714,3.3860826620103106,123
CG16964,11950121,11950520,400,401,10.7333974273319,11.3791535690019,9.53394630801132,1.4691153402828,5.41135396999935e-07,6.59749198475039e-05,1,11947965,11948623,659,1,2156,4.1806211287291015,124
CG16898,40010195,40010993,800,802,19.845214196047543,20.76452493523729,18.48393102101338,1.468641718052754,0.0020844644729118,0.055050896809124505,4,40007240,40010006,2768,4,-588,3.1349218483727492,125
CG31689,2727508,2727907,400,401,11.3217526578931,11.9954522858695,10.0171823565444,1.46626296083123,5.21066745873685e-06,0.0004543878656813,1,2725674,2739830,14157,1,1834,3.3425732748719006,126
vri,10588217,10589015,800,802,21.7586855969194,22.657025794254,20.438679580857098,1.445908712781782,0.0019464316261389,0.0512587535436496,2,10588591,10621621,33032,2,25,3.2404835336109175,127
Unc-76,4172444,4173242,800,802,21.57100543998,22.52929819407,20.092220743387927,1.438730736789552,0.0025274801240705,0.062469507271779204,12,4169946,4187041,17097,2,2880,3.0416471795164544,128
Wwox,8005407,8005806,400,401,11.0041336061189,11.6501304582233,9.80381727167338,1.43647963323951,1.23457353549736e-06,0.000130745822288,1,7999670,8004286,4617,2,-1121,3.883572179219811,129
SNF4Agamma,42407619,42408417,800,802,22.832479846328802,23.7276073835305,21.527278844250198,1.430491268738567,0.0023505760811294,0.0592336691690684,8,42407659,42425374,17717,2,260,3.0912695351087867,130
lqfR,22411546,22411945,400,401,10.4128237172847,11.0118479448591,9.36979700097687,1.42835347610863,8.84162898408408e-10,2.04910725779786e-07,4,22411301,22419051,7751,1,245,6.68843530843599,131
CG6983,16894745,16895543,800,802,21.18978736552251,22.0973452402037,19.83815445640597,1.406067704856299,0.002870882582779,0.068741921574217,6,16886084,16898754,12672,4,3211,2.932910467125,132
CG13457,15131020,15131419,400,401,9.37868381888235,10.0044208502965,8.24895336860106,1.4034412740873,3.81116696481649e-07,5.00215664132164e-05,3,15127940,15131378,3439,2,0,4.300842712566238,133
htt,28696590,28696989,400,401,9.38726353861886,9.99048345467734,8.33106266360626,1.3918636078107,2.19935877474916e-08,3.87524003290562e-06,4,28696242,28734816,38575,1,348,5.4117013920640336,134
CG30485,13850808,13851207,400,401,10.5071007323118,11.102804708687,9.47438795484082,1.3916554882209,4.35773011615021e-09,8.75801619046595e-07,2,13849882,13852983,3102,1,926,6.0575942562866745,135
PheRS-m,13966668,13967067,400,401,11.4294402814514,12.0459517393637,10.3304298771986,1.38472944160483,2.30487455019947e-07,3.25785152768579e-05,2,13968308,13969902,1595,1,-1241,4.48706871197842,136
Septin1,42718878,42719676,800,802,21.7772638813032,22.6433712557171,20.521867085794803,1.3696546584139782,0.0030943324720488,0.072108554101748,12,42716572,42723376,6806,2,2306,2.8979078700978294,137
Hnf4,8707720,8708119,400,401,12.4518439250742,13.0816747762441,11.3082048179444,1.36959750607456,1.45990951322931e-06,0.0001502246889112,1,8687226,8709042,21817,2,923,3.823258686660965,138
CG9933,13024648,13025047,400,401,10.2372495103235,10.8544403763268,9.13600557162044,1.36480571224301,4.8504072701313e-07,6.02786120889505e-05,1,13019575,13021312,1738,2,-3336,4.219836755843959,139
Cyp317a1,14898074,14898473,400,401,12.2321843909405,12.8273751259907,11.2010572658043,1.35823591199748,2.63400617682939e-08,4.54763818113664e-06,2,14898312,14901095,2784,1,0,5.342214095916286,140
