gene_id	gene_short_name	Ctrl_1	Ctrl_2	Ctrl_3	ScOE_1	ScOE_2	ScOE_3	ScOE_4
FBgn0000358	Cp19	0.107656	0	0	0	0.0625346	0.129533	0
FBgn0000359	Cp36	0	0	0.0705661	0	0	0	0
FBgn0000360	Cp38	0	0.0604542	0.283509	0.0347311	0	0	0.0370344
FBgn0000370	crc	941.861	961.886	756.438	569.812	586.025	509.578	440.276
FBgn0000376	crm	6.13698	6.53934	5.65973	6.64189	5.05022	5.24186	6.06067
FBgn0000377	crn	16.4664	9.39362	8.02568	12.745	10.2434	9.86569	9.17533
FBgn0000382	csw	14.3146	18.5341	18.0449	19.7423	20.6301	15.9357	21.5552
FBgn0000384	cta	9.61403	12.0835	11.9347	11.402	11.6895	9.84934	12.6555
FBgn0000394	cv	5.61465	7.32356	7.40409	4.81446	4.12422	4.45315	5.39259
FBgn0000395	cv-2	24.4087	20.7603	23.0788	11.5305	14.7635	14.8097	9.82434
FBgn0000404	CycA	23.1002	24.8696	21.0387	79.1208	65.1595	67.9937	78.0642
FBgn0000405	CycB	8.97199	11.1192	13.748	38.1808	44.5483	37.6492	54.2061
FBgn0000406	Cyt-b5-r	0	0.121555	0.522522	0.0999216	0.308163	0.4681	1.56369
FBgn0000409	Cyt-c-p	705.877	369.53	405.865	375.052	479.866	460.863	320.856
FBgn0000411	D	0.0339812	0.0635596	0.223544	0.237349	0.145021	0.150197	0.136273
FBgn0000412	D1	178.008	145.126	125.965	378.474	347.35	371.304	386.877
FBgn0000413	da	43.5159	29.2328	33.2083	32.1687	29.2891	24.8488	22.288
FBgn0000414	Dab	0.873082	1.8746	1.25906	3.88228	3.53506	3.27739	3.6341
FBgn0000416	Sap-r	218.042	252.719	321.089	194.32	290.204	276.679	240.418
FBgn0000422	Ddc	1.04016	0.473449	1.39411	0.442811	0.516612	0.829943	0.345842
FBgn0000426	SmF	142.462	88.5632	91.9617	124.292	111.299	144.836	114.574
FBgn0000427	1-Dec	0.0420219	0.0321116	0.0116921	0.0286817	0.0244242	0.0642433	0.0288783
FBgn0000439	Dfd	0.0188524	0	0.0253204	0.012408	0.0219016	0.0113416	0
FBgn0000442	Pkg21D	5.96689	9.6867	6.71887	8.64586	9.38421	13.1635	8.2179
FBgn0000447	Dhod	142.966	115.945	109.547	87.7619	78.5074	92.5019	66.8636
FBgn0000448	Hr46	2.26074	3.45809	2.85858	7.19952	7.06268	6.91047	6.48648
FBgn0000449	dib	1.62924	3.93536	3.68814	5.99063	6.32342	6.57104	10.5277
FBgn0000451	ect	2.17446	6.99854	2.7809	3.46551	1.93477	4.70006	9.34968
FBgn0000454	Dip-B	79.9544	87.3821	84.8403	91.1066	119.308	84.3012	113.863
FBgn0000455	Dip-C	39.1527	32.563	30.27	43.0054	59.8549	55.2938	41.8303
FBgn0000459	disco	0.233654	0.24856	0.611673	0.144713	0.242363	0.170688	0.0234234
FBgn0000463	Dl	40.4215	11.7529	12.5271	36.4239	49.0341	31.3049	50.6873
FBgn0000464	Lar	3.4619	2.98031	3.09528	4.27671	5.12588	4.28231	3.68175
FBgn0000473	Cyp6a2	0.423092	0.559278	6.819	0.128522	0.661668	0.998553	0.296919
FBgn0000477	DNaseII	25.0701	0.643009	2.26151	0.769604	0.516208	0.816015	0.0984727
FBgn0000479	dnc	29.4816	18.8396	19.1235	11.9559	14.6895	17.3432	13.0097
FBgn0000482	dor	4.66981	5.46095	4.08004	5.711	4.68363	5.61874	4.07099
FBgn0000489	Pka-C3	0.267765	0.163605	0.815166	0.140987	0.248859	3.19657	0.175385
FBgn0000490	dpp	0.241059	0.184105	0.172564	0.0951912	0.158696	0.319057	0.157893
FBgn0000492	Dr	0	0.0233207	0	0	0.0472974	0	0
FBgn0000497	ds	0	0.00916612	0.00524522	0.00514074	0.00453701	0.00469892	0
FBgn0000499	dsh	9.46709	7.90105	5.73762	8.22054	5.75152	5.55386	7.82527
FBgn0000500	Dsk	0	0	0	0	0	0.158934	0.0927003
FBgn0000504	dsx	10.1822	11.8487	14.9933	6.69464	7.83489	6.83958	7.02954
FBgn0000520	dwg	3.21812	2.34613	2.14325	3.36089	2.98164	2.86405	2.2211
FBgn0000524	dx	12.6542	11.8544	9.5601	16.5531	15.1527	13.0924	13.6816
FBgn0000527	e	0	0.0186316	0.0436857	0	0	0	0
FBgn0000529	bsh	0.0368414	0	0	0.0174076	0.030727	0	0.0185612
FBgn0000533	ea	0.0390377	0	0	0	0	0.0704613	0
FBgn0000535	eag	0.058276	0.223717	0.775606	0.63617	0.771938	1.03842	0.573473
FBgn0000536	eas	5.42698	8.47318	7.83704	7.71313	9.54062	8.26324	13.6837
FBgn0000541	E(bx)	8.73724	10.9318	9.37148	12.9688	12.6012	9.70629	15.4618
FBgn0000542	ec	0.0913885	0.0624783	0.0453926	0.0578912	0.0333495	0.0341088	0.0118006
FBgn0000543	ecd	9.13165	7.72289	6.90286	11.7528	10.8169	11.7351	9.04228
FBgn0000546	EcR	7.86848	11.8926	11.1534	10.0397	9.63055	8.85183	8.17632
FBgn0000547	ed	57.5946	49.4401	45.829	31.4449	33.0507	31.3177	32.0496
FBgn0000551	Edg78E	0.280933	0.323236	0	0.893963	0.574459	0.918732	0.594019
FBgn0000552	Edg84A	0	0	0	0	0	0.0646206	0.0753815
FBgn0000556	Ef1alpha48D	13649.7	23111.5	18769.9	11671.9	8677.73	9866.95	8360.28
FBgn0000557	Ef1alpha100E	0.220149	0.183407	1.29062	0.935562	1.61659	2.8188	1.01161
FBgn0000559	EF2	1814.18	2261.57	1865.24	1321.27	1098.27	1136.66	1067.81
FBgn0000560	eg	0	0	0	0	0	0	0.0210326
FBgn0000562	egl	13.6125	22.2701	19.0499	17.0735	17.4277	16.1293	17.2669
FBgn0000564	Eh	0	0.331829	0.387569	0	0.0562207	0.0578695	0.0679234
FBgn0000565	Eip71CD	2.04478	3.77271	4.78904	14.8785	16.5063	18.3756	10.8372
FBgn0000566	Eip55E	61.7717	45.8128	45.1096	27.124	27.0365	29.2211	34.6078
FBgn0000567	Eip74EF	24.1409	23.2293	24.6786	9.54503	10.0671	11.0803	4.91949
FBgn0000568	Eip75B	66.0222	35.8804	38.6089	17.875	19.1366	17.4642	14.3134
FBgn0000575	emc	99.5479	123.517	111.598	56.1544	55.2352	39.0419	81.2833
FBgn0000576	ems	0	0	0.0564628	0	0	0.0126455	0.0147513
FBgn0000577	en	0	0	0	0.0121538	0.0491196	0.45786	0
FBgn0000578	ena	161.373	99.7747	98.1958	139.958	131.964	125.422	94.2907
FBgn0000579	Eno	403.95	295.342	292.992	393.099	359.399	336.048	291.915
FBgn0000581	E(Pc)	8.07259	7.61623	6.64742	6.82379	6.21774	5.96209	5.75142
FBgn0000588	esc	4.01852	4.2749	2.48444	8.14448	5.13163	5.00778	8.14705
FBgn0000591	E(spl)m8-HLH	1.78548	1.26626	2.16967	364.798	396.531	361.119	545.959
FBgn0000592	Est-6	0.292895	0.26844	1.45552	0.134942	0.153121	0.193827	0.205549
FBgn0000594	Est-P	0.535084	0.438546	0.147189	6.80E-05	0.221371	0.354696	0.00435161
FBgn0000606	eve	0.0398238	0	0	0	0.0462659	0.0239585	0
FBgn0000611	exd	32.4393	45.5289	43.2728	64.802	68.7042	56.7532	72.6009
FBgn0000615	exu	1.45387	2.41866	2.35465	7.9127	8.61916	8.25507	7.27345
FBgn0000617	e(y)1	51.5606	30.012	35.2548	51.2803	44.4411	53.0456	38.3408
FBgn0000618	e(y)2	38.6268	21.1077	38.6381	25.1038	24.972	30.7247	21.5501
FBgn0000625	eyg	0.147422	0.0743745	1.38099	0.0854587	0.188551	0.106887	0.0455598
FBgn0000629	E(z)	12.7112	12.5755	10.1695	15.9945	13.7107	13.5129	11.5922
FBgn0000633	fas	0.58059	0.867578	0.779784	2.03802	3.63645	3.34607	1.21645
FBgn0000635	Fas2	42.1849	46.0922	41.7862	54.814	57.4891	49.6683	49.2796
FBgn0000636	Fas3	1.47421	2.68024	3.3315	37.964	39.6402	51.5305	82.0316
FBgn0000639	Fbp1	0	0.10271	0.0401284	0.167244	0.06944	0.0269645	0.0734059
FBgn0000640	Fbp2	0	0.441777	0	0.645049	0.31999	0	0.0386597
FBgn0000644	Fcp3C	0.568652	0.868621	0.933473	2.2872	1.61487	2.77483	1.37458
FBgn0000658	fj	0.0285472	0.0817613	0.115024	0.479115	0.273607	0.31772	0.190323
FBgn0000659	fkh	197.873	233.186	233.662	122.061	115.238	91.9027	108.429
FBgn0000662	fl(2)d	25.1561	25.3766	28.4383	30.5688	35.0809	39.1264	32.7371
FBgn0000667	Actn	36.9443	40.9326	40.4682	62.515	61.0485	69.353	48.1815
FBgn0000709	fliI	7.06622	6.48569	5.03666	4.31079	4.3266	3.33745	5.73471
FBgn0000711	flw	41.9338	53.9317	68.5057	52.054	52.702	43.2316	63.813
FBgn0000715	FMRFa	0	0	0.0525667	0	0	0.0235459	0.0274669
FBgn0000719	fog	30.0857	24.1452	23.1623	9.9105	10.7709	4.81933	6.5066
FBgn0000721	for	131.85	158.033	153.716	83.165	65.2641	62.2781	54.7039
FBgn0000723	FER	43.573	92.3321	85.526	79.0951	72.6152	70.5248	79.5954
FBgn0000808	gd	0.139783	0.0960579	0.863876	0.276075	0.194915	0.151397	0.0980994
FBgn0000810	fs(1)K10	6.47621	5.67023	4.57441	6.16176	5.3699	5.66247	6.58187
FBgn0000826	png	0.526561	0.904867	0.707218	0.311909	0.305864	0.380136	0.369532
FBgn0000927	fs(1)Ya	0	0	0	0	0.0136733	0	0
FBgn0000928	fs(1)Yb	0	0	0	0	0.0168289	0	0
FBgn0000964	tj	0.18889	0.0332921	0	0	0.0168801	0.104895	0.0101969
FBgn0000996	dup	1.97812	1.51817	1.10308	7.50654	6.52792	7.81621	6.18331
FBgn0001075	ft	0.108949	0.124815	0.10397	0.222668	0.238153	0.174209	0.179074
FBgn0001077	ftz	0	0	0	0	0.0176978	0	0
FBgn0001078	ftz-f1	12.0014	13.2697	13.5662	14.0009	16.0292	13.7493	11.0878
FBgn0001079	fu	3.08909	3.44675	3.58029	3.2716	3.26993	3.24513	3.48841
FBgn0001083	fw	0.0425103	0.0266003	0.513854	0.1329	0.0987717	0.0639357	0.0325888
FBgn0001084	fy	2.69415	2.76557	2.44108	1.62797	1.43563	1.80262	2.50083
FBgn0001085	fz	0.687525	0.636179	0.479462	2.23643	2.52675	2.33853	1.27119
FBgn0001086	fzy	8.51261	8.00973	7.95664	30.1156	21.5388	23.36	38.8966
FBgn0001087	g	8.21409	7.48584	7.87767	10.7888	9.25881	9.62644	10.0603
FBgn0001089	Gal	2.29617	2.4234	45.3025	0.726331	38.602	28.0273	235.852
FBgn0001090	bnb	0.254087	0.364318	0.540569	0.178908	0.276733	0.201332	0.0914068
FBgn0001091	Gapdh1	118.632	84.8597	83.5522	99.1528	94.8215	107.466	69.5293
FBgn0001092	Gapdh2	350.414	266.041	270.228	251.177	265.627	321.936	190.263
FBgn0001098	Gdh	179.203	119.306	105.459	66.6463	117.343	54.881	65.3029
FBgn0001099	gdl	18.1677	11.5481	10.7836	8.37016	7.52334	8.67326	9.29501
FBgn0001104	Galphai	112.829	96.9158	96.5218	69.8175	72.3525	62.9525	68.5363
FBgn0001105	Gbeta13F	253.553	232.529	263.176	300.17	378.146	375.535	248.447
FBgn0001108	Gl	10.9788	9.87071	7.64579	6.41575	5.58568	5.04454	5.86916
FBgn0001112	Gld	0.301437	0.284394	0.285781	0.245077	0.236895	0.234682	0.286206
FBgn0001114	Glt	0.343953	0.107463	0.0209928	0.668851	0.726525	0.667802	0.471793
FBgn0001120	gnu	0.066717	0	0.0896069	0.0878219	0.0387541	0	0
FBgn0001122	Galphao	5.18466	4.46265	5.11628	18.1537	26.3792	22.0476	17.3433
FBgn0001123	Galphas	74.0588	62.5928	62.8168	69.5909	74.0731	68.863	72.78
FBgn0001124	Got1	134.434	121.846	144.976	134.551	137.821	132.231	118.679
FBgn0001125	Got2	201.385	133.11	125.254	157.905	128.308	131.064	84.8218
FBgn0001128	Gpdh	50.2345	57.5273	69.2789	36.5306	60.7998	53.1188	89.4635
FBgn0001133	grau	7.95215	6.22478	5.35923	6.74253	5.80274	5.29478	4.98489
FBgn0001134	Grd	0.115036	0.107707	0.08264	0.0310192	0.0360023	0.0365454	0.0425734
FBgn0001137	grk	5.05794	6.39605	3.99278	8.18222	8.50717	8.59918	10.0753
FBgn0001138	grn	0	0.0505686	0.019761	0.0871562	0.188029	0.141628	0.0103254
FBgn0001139	gro	37.6416	29.5974	31.4469	46.1342	46.7856	46.6401	39.0162
FBgn0001142	Gs1	10.6431	6.36064	5.30778	29.2176	30.49	24.4604	38.8274
FBgn0001145	Gs2	1.51701	4.70271	15.7385	3.42531	24.9876	20.3827	35.3626
FBgn0001147	gsb-n	0	0	0	0.0154775	0	0.0141473	0.0165032
FBgn0001148	gsb	0	0	0	0.021792	0	0	0
FBgn0001149	GstD1	967.99	1071.33	1236.17	1156.13	1257.24	1540.96	891.029
FBgn0001150	gt	0.698081	0.0695429	0.0815292	2.79668	2.76795	1.58857	1.68271
FBgn0001168	h	129.636	42.6811	57.1554	25.5675	37.7419	30.6475	26.682
FBgn0001169	H	4.98822	9.05583	6.91379	10.2631	10.6201	8.9583	9.80418
FBgn0001170	H2.0	0	0	0.0881445	0	0	0.019741	0
FBgn0001174	halo	0.116886	0.401724	0	0.0769303	0.339478	0.281275	0.164057
FBgn0001179	hay	10.3386	7.35811	6.03844	9.72268	9.98892	11.0808	8.04061
FBgn0001180	hb	0	0.017465	0.0625067	0.0100337	0.0265659	0.0917133	0.0320958
FBgn0001185	her	7.35404	8.14777	5.8392	6.88453	5.36366	4.5785	7.33618
FBgn0001186	Hex-A	110.79	82.8269	103.331	37.3579	32.5687	33.7603	42.6363
FBgn0001187	Hex-C	0	0.425359	0.349071	0.24437	8.60527	0.357389	0.495072
FBgn0001189	hfw	22.272	29.1508	26.6346	20.9705	22.6091	24.7135	23.7385
FBgn0001197	His2Av	736.103	745.005	756.602	1560.44	1375.4	1483.53	1186.68
FBgn0001202	hk	22.3074	19.4133	18.8091	20.8914	19.5155	19.3137	16.7823
FBgn0001206	Hmr	0.361497	0.450684	0.285601	0.902717	0.790526	1.09378	0.820771
FBgn0001208	Hn	0	0	0.0485755	0	0.0630309	0.0435192	0.0415176
FBgn0001215	Hrb98DE	284.855	195.217	188.702	230.322	233.509	242.203	203.96
FBgn0001216	Hsc70-1	0.0243427	0.0234026	0.0548818	0.182973	0.0848433	0.143349	0.102379
FBgn0001217	Hsc70-2	0	1.13996	1.07567	0	0	0.0292012	0
FBgn0001218	Hsc70-3	121.307	116.215	110.054	190.056	199.362	199.358	94.3551
FBgn0001220	Hsc70-5	106.607	92.5252	103.287	61.4114	68.3633	59.2007	57.8712
FBgn0001222	Hsf	26.9099	25.3202	23.8689	23.3115	26.6228	26.8966	19.6107
FBgn0001223	Hsp22	276.857	1049.3	1283.18	238.7	491.265	445.693	174.04
FBgn0001224	Hsp23	533.609	1912.45	2195.93	515.103	931.844	887.073	342.835
FBgn0001225	Hsp26	530.081	2030.96	1958.92	428.463	639.867	813.049	260.81
FBgn0001226	Hsp27	88.863	229.586	121.504	52.2812	68.0482	62.876	18.7253
FBgn0001227	Hsp67Ba	0.170961	0.265795	0.58829	2.08172	2.12503	1.7928	1.11196
FBgn0001228	Hsp67Bb	8.88E-07	10.914	13.045	2.57829	2.90758	3.30982	1.17881
FBgn0001229	Hsp67Bc	3.98045	21.6781	23.8518	21.6436	35.5001	42.7721	13.9241
FBgn0001230	Hsp68	54.2238	335.543	350.579	52.4226	92.2033	84.0432	36.6299
FBgn0001233	Hsp83	1359.11	1306.26	1615.94	660.815	789.128	643.648	800.8
FBgn0001234	Hsromega	455.528	690.788	1745.93	389.276	523.907	458.961	432.68
FBgn0001235	hth	0.438919	4.61965	1.85773	2.78258	4.77454	4.50343	4.47742
FBgn0001247	Ide	17.5003	14.1782	13.964	13.054	12.2672	11.4522	13.0172
FBgn0001248	Idh	59.3569	95.1655	183.691	97.7797	114.663	133.851	160.344
FBgn0001250	if	0.0438441	0.0389786	0.294467	0.063488	0.0854268	0.0949615	0
FBgn0001253	ImpE1	0.00816821	0.152928	0.450287	0.044027	0.23354	0.0807257	0
FBgn0001254	ImpE2	0	0.0364402	0	0	0.110858	0.0191357	0.0223223
FBgn0001255	ImpE3	0.86151	0.555172	0.578542	0.318947	0.719364	0.777429	0.566807
FBgn0001256	ImpL1	0.050197	0	0	0	0	0	0.0352274
FBgn0001257	ImpL2	246.217	71.6707	111.872	11.0141	16.5496	11.8041	11.5881
FBgn0001258	ImpL3	48.0101	36.9685	54.6204	40.0507	53.7707	59.8799	47.6726
FBgn0001259	in	0.016719	0.0191538	0.0449102	0.0110039	0.0291348	0.0100582	0.0117331
FBgn0001263	inaD	0.674251	0.231733	0.429874	0.060181	0.182772	0.202815	0.205044
FBgn0001269	inv	0.01493	0.0119673	0.02806	0	0.0121357	0.153571	0.00733088
FBgn0001276	ix	21.2288	31.9008	19.8722	41.0696	26.7978	37.2635	32.6339
